"date","AM","GO","PR","AC","AL","AP","BA","CE","DF","ES","MA","MG","MS","MT","PA","PB","PE","PI","RJ","RN","RO","RR","RS","SC","SE","SP","TO"
2020-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2020-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2020-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2020-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2020-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2020-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2020-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA
2020-03-06,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,10,NA
2020-03-07,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,13,NA
2020-03-08,NA,NA,NA,NA,1,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,16,NA
2020-03-09,NA,NA,NA,NA,1,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,16,NA
2020-03-10,NA,NA,NA,NA,1,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,19,NA
2020-03-11,NA,NA,NA,NA,1,NA,3,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,30,NA
2020-03-12,NA,3,6,NA,1,NA,3,NA,2,2,NA,2,NA,NA,NA,NA,2,NA,15,1,NA,NA,4,2,NA,46,NA
2020-03-13,1,3,6,NA,1,NA,7,NA,2,2,NA,2,NA,NA,NA,NA,2,NA,15,1,NA,NA,4,3,NA,46,NA
2020-03-14,1,4,6,NA,1,NA,7,NA,8,4,NA,4,2,NA,NA,NA,7,NA,15,1,NA,NA,4,5,1,65,NA
2020-03-15,1,4,6,NA,1,NA,9,NA,14,4,NA,4,2,NA,NA,NA,8,NA,24,1,NA,NA,4,6,1,65,NA
2020-03-16,1,9,6,NA,1,NA,10,9,19,8,NA,6,4,NA,NA,NA,8,NA,25,1,NA,NA,8,7,5,152,NA
2020-03-17,1,10,12,3,1,NA,14,10,19,8,NA,14,6,NA,NA,NA,18,NA,25,1,NA,NA,8,7,5,164,NA
2020-03-18,2,12,14,3,1,NA,27,19,34,11,NA,19,7,NA,1,1,19,NA,63,1,NA,NA,19,14,6,240,NA
2020-03-19,3,15,23,4,4,NA,31,24,42,13,NA,29,9,NA,1,1,28,3,66,1,NA,NA,31,21,6,286,NA
2020-03-20,7,18,36,7,6,1,34,68,87,16,1,38,12,1,2,1,31,4,66,6,1,NA,43,40,7,396,1
2020-03-21,11,19,43,11,7,1,41,84,108,26,2,55,16,1,2,1,33,4,119,9,3,2,69,57,10,396,2
2020-03-22,26,21,54,11,7,1,55,125,117,26,2,83,21,2,4,1,37,6,186,13,3,2,77,68,10,631,5
2020-03-23,32,23,60,17,8,1,63,164,138,33,8,128,21,6,5,2,42,6,233,13,3,2,96,86,10,745,7
2020-03-24,47,29,70,21,10,1,79,185,161,40,8,130,24,7,5,3,42,8,305,14,5,8,112,109,15,810,7
