date,São Paulo,Rio de Janeiro,Manaus,Fortaleza,Belo Horizonte,Vitória,Curitiba,Macapá
2020-02-25,1,,,,,,,
2020-02-26,1,,,,,,,
2020-02-27,1,,,,,,,
2020-02-28,2,,,,,,,
2020-02-29,2,,,,,,,
2020-03-01,2,,,,,,,
2020-03-02,2,,,,,,,
2020-03-03,2,,,,,,,
2020-03-04,3,,,,,,,
2020-03-05,6,,,,,,,
2020-03-07,12,,,,,,,
2020-03-08,15,2,,,,,,
2020-03-09,15,,,,,,,
2020-03-10,18,,,,,,,
2020-03-11,29,,,,,,,
2020-03-12,44,13,,,,,5,
2020-03-14,62,,,,,,,
2020-03-16,145,23,,8,1,,5,
2020-03-17,156,,,9,5,,7,
2020-03-18,214,55,2,17,10,,8,
2020-03-19,259,56,3,,18,5,17,
2020-03-20,306,,7,63,20,6,27,1
2020-03-25,722,331,52,196,90,15,60,2
2020-03-26,899,368,63,224,96,17,66,2
2020-03-27,1044,431,75,268,118,18,71,3
2020-03-30,1233,553,140,353,163,26,77,8
2020-03-31,1885,586,159,371,163,28,87,10
2020-04-01,2418,697,179,413,188,34,97,11
2020-04-02,2815,798,205,526,210,36,99,12
2020-04-03,3202,867,232,600,225,39,114,19
2020-04-04,3496,982,283,681,237,43,153,28
2020-04-05,3612,1068,379,869,262,62,172,29
2020-04-06,3754,1110,473,929,264,64,175,35
2020-04-07,4258,1251,560,1053,275,65,194,47
2020-04-08,4947,1449,712,1238,299,77,205,95
2020-04-09,5477,1633,800,1283,310,81,237,97
2020-04-10,5982,1808,863,1366,330,96,251,146
2020-04-11,6131,1905,932,1457,338,101,279,171
2020-04-12,6352,1996,1053,1529,355,111,302,204
2020-04-13,6418,2322,1106,1686,357,119,299,211
