date,São Paulo,Rio de Janeiro,Manaus,Fortaleza,Belo Horizonte,Vitória,Curitiba,Macapá
2020-02-25,0,,,,,,,
2020-02-26,0,,,,,,,
2020-02-27,0,,,,,,,
2020-02-28,0,,,,,,,
2020-02-29,0,,,,,,,
2020-03-01,0,,,,,,,
2020-03-02,0,,,,,,,
2020-03-03,0,,,,,,,
2020-03-04,0,,,,,,,
2020-03-05,0,,,,,,,
2020-03-07,0,,,,,,,
2020-03-08,0,0,,,,,,
2020-03-09,0,,,,,,,
2020-03-10,0,,,,,,,
2020-03-11,0,,,,,,,
2020-03-12,0,0,,,,,0,
2020-03-14,0,,,,,,,
2020-03-16,0,0,,0,0,,0,
2020-03-17,1,,,0,0,,0,
2020-03-18,3,0,0,0,0,,0,
2020-03-19,5,0,0,,0,0,0,
2020-03-20,9,,0,0,0,0,0,0
2020-03-25,44,5,0,0,0,0,0,0
2020-03-26,53,6,0,3,0,0,0,0
2020-03-27,62,6,0,3,0,0,0,0
2020-03-30,103,13,1,5,1,0,0,0
2020-03-31,121,18,2,6,2,0,0,0
2020-04-01,144,20,2,6,2,0,0,0
2020-04-02,164,31,2,0,3,0,0,0
2020-04-03,186,36,5,17,3,2,0,0
2020-04-04,212,38,9,18,3,2,0,1
2020-04-05,220,42,11,26,3,2,0,1
2020-04-06,244,47,15,27,4,2,3,1
2020-04-07,296,59,19,30,5,2,3,1
2020-04-08,339,73,25,45,6,2,3,1
2020-04-09,384,82,33,45,6,2,5,1
2020-04-10,409,92,42,53,6,2,5,1
2020-04-11,422,98,45,58,6,2,5,3
2020-04-12,445,106,51,59,6,4,6,3
2020-04-13,456,115,60,78,6,6,6,4
