,Susceptible,Exposed,Asymptomatic,Infected data,Infected,Recovered,Predicted Recovered,Death data,Predicted Deaths
3/1/20,7533854.0,0.0,0.0,2.0,191.83261075628474,0.0,262.192261124058,0.0,25.574835698493086
3/2/20,7532997.765735623,497.76979558622315,1.5580507310735006,2.0,188.21962847351045,0.0,267.0039066279225,0.0,421.2782848472361
3/3/20,7532148.4290772695,983.5090217885261,6.117322397830202,2.0,186.65530617371562,0.0,271.8373518253727,0.0,816.9648750187287
3/4/20,7531300.708583317,1462.5970263443305,13.534637703334747,4.0,187.05318902381552,0.0,276.82659288652104,0.0,1212.6363512493222
3/5/20,7530449.522294053,1940.158671698537,23.703422027190733,4.0,189.34985184167974,0.0,282.10017870841716,0.0,1608.2943841960675
3/6/20,7529589.928923361,2421.1254889496317,36.55127589397895,13.0,193.5034528956976,0.0,287.78278123610596,0.0,2003.9405912101863
3/7/20,7528717.072568277,2910.292695525367,52.03798215535751,13.0,199.49255797664205,0.0,293.9966698485298,0.0,2399.576556095254
3/8/20,7527826.130259329,3412.3727921608925,70.15391295354313,20.0,207.3152136898958,0.0,300.8631079530334,0.0,2795.203847794643
3/9/20,7526912.261705385,3932.0464189100335,90.91880508389326,25.0,216.98825112164735,0.0,308.5036891371533,0.0,3190.8240382418676
3/10/20,7525970.560649976,4474.011078320099,114.38087849204165,31.0,228.546804814622,0.0,317.0416285524603,0.0,3586.4387195846466
3/11/20,7524996.007301458,5043.0282824279975,140.6162770770312,38.0,242.0440347323647,0.0,326.60302401215057,0.0,3982.0495209772134
3/12/20,7523983.421310635,5643.969664177452,169.72881403679494,52.0,257.5510408211279,0.0,337.3181010065717,0.0,4377.658125131426
3/13/20,7522927.414806768,6281.86255038214,201.8500083606224,151.0,275.15696249272185,0.0,349.3224548685307,0.0,4773.266284803889
3/14/20,7521822.345041068,6961.9354502175565,237.13940268409314,151.0,294.9692575828606,0.0,362.7583023192618,0.0,5168.875839382656
3/15/20,7520662.266145313,7689.6639505175735,275.7851545111737,162.0,317.1141565501245,0.0,377.77575579540763,0.0,5564.488731752436
3/16/20,7519440.879595625,8470.81742068822,318.0048978550671,199.0,341.7372907491111,1.0,394.5341317669062,0.0,5960.107025587659
3/17/20,7518151.482931097,9311.506967255646,364.0468735074222,318.0,369.0044944199395,2.0,413.20330541282897,1.0,6355.73292323801
3/18/20,7516786.916285418,10218.235064554718,414.19132929609253,367.0,399.1027820274679,2.0,433.9651238569952,3.0,6751.368784368525
3/19/20,7515339.506298406,11197.94727478422,468.7521945150468,613.0,432.2415043675524,2.0,457.01489001381196,6.0,7147.017145514128
3/20/20,7513801.006957928,12258.086482824658,528.0790349146696,780.0,468.6536882925206,2.0,482.56292964249155,11.0,7542.680740715433
3/21/20,7512162.536926767,13406.650063145782,592.5592970605547,1004.0,508.59756644494496,2.0,510.83625420792185,15.0,7938.362523402546
3/22/20,7510414.512884403,14652.250415647635,662.6208533778971,1519.0,552.3583050345032,2.0,542.0803329775274,25.0,8334.065689704274
3/23/20,7508546.578387279,16004.179328136517,738.7348619647171,1888.0,600.249939505837,2.0,576.5609886839109,34.0,8729.793703371937
3/24/20,7506547.527786539,17472.476586252065,821.4189566469162,2199.0,652.6175287771257,2.0,614.5664302898106,46.0,9125.550322496221
3/25/20,7504405.224652435,19068.003332844884,911.2407861648821,2493.0,709.8395410726406,2.0,656.4094391592678,59.0,9521.339628232025
3/26/20,7502106.5141836805,20802.52064708979,1008.8219232924456,2902.0,772.3304855505693,6.0,702.429724396833,77.0,9917.166055738737
3/27/20,7499637.129032924,22688.7738543966,1114.8421674317756,3319.0,840.5438057750151,6.0,752.9964648253753,92.0,10313.034427565928
3/28/20,7496981.587940513,24740.583109996187,1230.0442675227216,3787.0,914.9750532701662,6.0,808.5110566480741,111.0,10708.949989734943
3/29/20,7494123.086663662,26972.94071167237,1355.239089251996,4114.0,996.1653574167253,6.0,869.410083231064,136.0,11104.918450732452
3/30/20,7491043.380492973,29402.115767646006,1491.3112609629964,4300.0,1084.7052149927028,120.0,936.1685303224785,159.0,11500.9460237224
3/31/20,7487722.657332916,32045.767126530784,1639.225346986696,5389.0,1181.2386323746084,127.0,1009.3032799544965,201.0,11897.039472413408
4/1/20,7484139.40157788,34923.064344515056,1800.032546972388,6469.0,1286.4676192163795,127.0,1089.376878954208,240.0,12293.206160527207
4/2/20,7480270.2470749095,38054.81820755646,1974.8780001193695,7593.0,1401.157087222498,127.0,1177.0016382293663,324.0,12689.454105606772
4/3/20,7476089.819080687,41463.62086495371,2165.008710981293,8570.0,1526.1401650590954,127.0,1272.8440707116697,359.0,13085.792037266816
4/4/20,7471570.564057063,45173.99657970101,2371.7821599578583,9788.0,1662.3239721069592,127.0,1377.629710531116,445.0,13482.229460445658
4/5/20,7466682.56684263,49212.56348203163,2596.6756303559314,10517.0,1810.6958726152322,127.0,1492.1483351281222,486.0,13878.776723943216
