,Susceptible,Exposed,Asymptomatic,Infected data,Infected,Recovered,Predicted Recovered,Death data,Predicted Deaths
1/29/20,216628.0,0.0,0.0,5834.0,435.32444906646896,120.0,52.137517407016574,133.0,135.6979037699273
1/30/20,214136.13950803727,2273.114833973964,131.2473947865077,7835.0,502.3049373285748,135.0,72.43713880776265,171.0,136.73096417114093
1/31/20,210842.3242576998,4894.114713904693,534.9366170237128,9375.0,747.265295950997,214.0,99.63532373263406,213.0,138.1150967721992
2/1/20,205744.71073220728,8716.952418761155,1299.802109398405,11357.0,1220.8818866049135,275.0,142.5772721756371,259.0,140.30043931686342
2/2/20,197557.62833541183,14708.138198780172,2617.340079457114,15806.0,2039.7335539629355,463.0,213.82270021674486,361.0,143.9261635889665
2/3/20,184607.00527820972,24019.405415341003,4800.953583834401,18677.0,3395.8765163456123,614.0,332.7839185900571,425.0,149.98017418772406
2/4/20,165050.4464300672,37748.26467223984,8297.573338572522,22373.0,5560.859405136217,843.0,529.2565230187362,491.0,159.97878756069653
2/5/20,137755.81974306298,56135.75976738586,13641.852293678483,25762.0,8851.195179398921,1115.0,846.4261372684823,563.0,176.11974703285406
2/6/20,103940.43312618333,77215.91162543825,21282.993148964568,28477.0,13510.655281101814,1477.0,1340.6245834165159,633.0,201.2698141595115
2/7/20,68442.97500775957,96064.06611868605,31272.57532405807,31393.0,19506.018649301448,1999.0,2073.7109078194435,718.0,238.57703438647107
2/8/20,38207.86190749873,106745.99086696365,43004.48833523373,33413.0,26368.156555820708,2596.0,3096.5501093462653,805.0,290.6299592267542
2/9/20,17862.34982646006,106536.1975038428,55337.671601712704,35705.0,33295.970613256985,3219.0,4430.6251667401775,905.0,358.5218708658985
2/10/20,7054.025725194176,97718.77181281713,67113.12147706842,37424.0,39516.62420299605,3918.0,6060.7835525758055,1012.0,441.48164773380176
2/11/20,2411.568089733211,84877.36945394886,77603.4374736445,38638.0,44582.12391774931,4636.0,7943.992995913527,1112.0,537.3193507264783
2/12/20,736.4144658445696,71606.22282084303,86571.21762781775,38560.0,48391.439794223545,5082.0,10025.323965536394,1117.0,643.2395817450281
2/13/20,207.17498354035513,59618.459647327334,94081.41922128457,52309.0,51048.79349887998,6217.0,12250.510496789979,1369.0,756.4807120067283
2/14/20,55.173560416886254,49379.64694308309,100315.90769767869,56860.0,52730.70619871236,7977.0,14571.933330139713,1521.0,874.6193676974344
2/15/20,14.225983197962218,40823.42615463693,105474.2087170501,57452.0,53616.77030618351,9298.0,16950.08106147876,1663.0,995.6447888219565
2/16/20,3.616504350261865,33729.05385552096,109737.19778379971,57992.0,53865.483005637594,10755.0,19353.034084916697,1766.0,1117.9325667307521
2/17/20,0.9196706020928006,27862.14655339063,113258.96026529744,58108.0,53609.89501397028,12462.0,21755.38396376545,1864.0,1240.1896502354932
2/18/20,0.23661433796458822,23014.36600382724,116168.03842876392,58002.0,52959.677373353676,14206.0,24137.13195066278,2003.0,1361.3982906112456
2/19/20,0.06213115780611228,19009.711507910964,118570.93581619121,56541.0,52004.5789284249,15962.0,26482.720661380543,2116.0,1480.7667628727024
2/20/20,0.016758710366123114,15701.805837348391,120555.70644196616,54825.0,50817.7708968809,18014.0,28780.22020876688,2238.0,1597.6879476229553
2/21/20,0.0046629565383098535,12969.490693453972,122195.10278572373,54608.0,49458.73655016965,18704.0,31020.653976714715,2238.0,1711.705019270291
2/22/20,0.0013401744024256613,10712.627402817077,123549.22275374345,51859.0,47975.68872493858,22699.0,33197.442788773595,2443.0,1822.4831594222173
2/23/20,0.000396426600066395,8848.48663284631,124667.70778194263,51390.0,46407.572705270126,23187.0,35305.94756658999,2445.0,1929.786282488285
2/24/20,0.00011893088878080218,7308.730897406779,125591.5613896716,49631.0,44785.72051929097,25015.0,37343.09344244056,2595.0,2033.4579065324883
2/25/20,3.47035042301887e-05,6036.9132519166715,126354.65202746978,47413.0,43135.21585441293,27676.0,39307.06110937547,2665.0,2133.4054458895835
2/26/20,8.808549617184966e-06,4986.408974858077,126984.95460920945,45365.0,41476.019660940336,30084.0,41197.033630984115,2717.0,2229.5873261561683
2/27/20,1.452068114418653e-06,4118.706589457114,127505.57604483134,42924.0,39823.8980675496,32930.0,43012.98898179482,2746.0,2322.002426442247
2/28/20,7.21739074600687e-08,3401.9961128336145,127935.60233160069,39809.0,38191.18707932547,36329.0,44755.53027915662,2790.0,2410.6814397658213
2/29/20,3.3164543286117437e-09,2810.0029242718138,128290.79824474633,37199.0,36587.42253768497,39320.0,46425.74707144544,2837.0,2495.679813923203
3/1/20,-1.5971838957391646e-09,2321.0245682572877,128584.1852583231,34898.0,35019.858852470425,42162.0,48025.10220880843,2872.0,2577.0719942706405
3/2/20,3.7351111092588235e-10,1917.1350313541657,128826.5189804307,32368.0,33493.89602444715,44854.0,49555.33975544413,2914.0,2654.9467373228267
3/3/20,7.544160721964863e-10,1583.5277149375484,129026.68337024706,29864.0,32013.430790789942,47450.0,51018.41026139891,2947.0,2729.403307788025
3/4/20,8.265266760868194e-10,1307.9725643553015,129192.01646056362,27402.0,30581.145388087574,50001.0,52416.4102594047,2983.0,2800.5483995244
3/5/20,1.6449753359372352e-09,1080.3677191324548,129328.57936766386,25230.0,29198.744729293376,52292.0,53751.53348023349,3015.0,2868.4936528589924
3/6/20,3.821801145862158e-09,892.3691695453773,129441.37849738152,23702.0,27867.151070811648,53944.0,55026.03168203337,3044.0,2933.3536611682007
3/7/20,1.1476553984974642e-11,737.084885859013,129534.54906756346,22159.0,26586.663594998332,55539.0,56242.18338039427,3072.0,2995.244379531323
3/8/20,-2.1598142701347985e-10,608.8221748556554,129611.50669413253,20335.0,25357.089143222354,57388.0,57402.268996409395,3100.0,3054.2818599999096
3/9/20,1.6417947318851109e-09,502.8789098423754,129675.0726531063,18933.0,24177.849080883174,58804.0,58508.55137492153,3123.0,3110.5812601591674
