,Susceptible,Exposed,Asymptomatic,Infected data,Infected,Recovered,Predicted Recovered,Death data,Predicted Deaths
3/8/20,12237856.0,0.0,0.0,36.0,10.751660574932698,3.0,261.77437477847775,0.0,366.0083658651146
3/9/20,12237515.264246106,25.463821485240814,0.09974998192066475,40.0,10.436003076833048,3.0,262.15907449210107,0.0,749.1760419782079
3/10/20,12237175.135110175,50.002375392952366,0.39011884520978823,52.0,10.256985655280713,4.0,262.5401215720898,0.0,1132.333840004269
3/11/20,12236835.292460231,73.94572207428303,0.8600232028545365,57.0,10.205968398344591,4.0,262.9275345702852,1.0,1515.4817667193195
3/12/20,12236495.43478184,97.60113962774706,1.5011470540305092,68.0,10.276216012163982,4.0,263.33077942644513,1.0,1898.6198285206349
3/13/20,12236155.274774214,121.25779496422533,2.3077080616509917,76.0,10.462727932913436,4.0,263.75891017938545,2.0,2281.7480315163834
3/14/20,12235814.535324216,145.190978708557,3.276264705972353,96.0,10.76209682562141,4.0,264.2206979950063,2.0,2664.8663816076287
3/15/20,12235472.945791619,169.6659759558579,4.405559981923901,98.0,11.172392373540701,13.0,264.72475062763107,2.0,3047.9748845640124
3/16/20,12235130.238549124,194.9416336245719,5.696398181443561,104.0,11.693067875027205,13.0,265.27962411499584,2.0,3431.073546094249
3/17/20,12234786.145723907,221.27368124124803,7.151551678650142,125.0,12.324887425937785,14.0,265.8939284035178,3.0,3814.1623719125273
3/18/20,12234440.396092605,248.91785622679058,8.775695157546684,139.0,13.069871828571465,14.0,266.57642844469046,3.0,4197.241367801793
3/19/20,12234092.712087033,278.1328785517526,10.57536524694814,175.0,13.93126173474818,15.0,267.3361421330557,4.0,4580.310539674788
3/20/20,12233742.806870233,309.1833168816859,12.558943856234784,219.0,14.913496756376201,20.0,268.18243638828363,5.0,4963.3698936336605
3/21/20,12233390.381444922,342.3423853975916,14.73666380369496,303.0,16.02220948304191,23.0,269.1251226070962,4.0,5346.419436028935
3/22/20,12233035.12176052,377.8947055669292,17.12063588572302,362.0,17.26423372903094,27.0,270.174552586905,7.0,5729.459173518513
3/23/20,12232676.695783809,416.13906828965713,19.724896511764936,462.0,18.647626312883194,27.0,271.34171606042247,10.0,6112.48911312743
3/24/20,12232314.750501508,457.39122778527775,22.565475524819178,486.0,20.181702012033313,40.0,272.6383408808665,10.0,6495.509262309012
3/25/20,12231948.908823308,501.98675809950754,25.66048403127739,602.0,21.877081470935476,43.0,274.07699689678435,12.0,6878.519629008075
3/26/20,12231578.766354173,550.2840023854316,29.03022229175101,662.0,23.74575199343532,45.0,275.6712045487593,20.0,7261.520221726796
3/27/20,12231203.8880045,602.6671449690915,32.69730795400513,794.0,25.801141301592228,73.0,277.43554923345886,20.0,7644.511049593917
3/28/20,12230823.804406783,659.5494357726881,36.68682512423181,879.0,28.05820448614763,84.0,279.3858024825381,24.0,8027.4921224379
3/29/20,12230438.008106474,721.3765971835944,41.02649502032913,902.0,30.5335245348238,95.0,281.5390510411288,27.0,8410.463450864709
3/30/20,12230045.949493391,788.6304443451522,45.74686920539271,1117.0,33.24542698901786,102.0,283.9138349812171,32.0,8793.425046340899
3/31/20,12229647.032440607,861.832749550869,50.88154620758473,1239.0,36.214109154144815,123.0,286.5302959599557,35.0,9176.3769212827
4/1/20,12229240.60961053,941.549386115363,56.467413735952434,1792.0,39.46178519587588,148.0,289.41033700501265,58.0,9559.3190891519
