,Susceptible,Exposed,Asymptomatic,Infected data,Infected,Recovered,Predicted Recovered,Death data,Predicted Deaths
2/27/20,538666.0,0.0,0.0,593.0,27.255912173553007,45.0,231.05222677262947,17.0,33.40929291086335
2/28/20,538467.711962164,193.0853361487998,3.1203850928041224,821.0,28.58832624492822,46.0,231.65910765441637,21.0,33.55967656244632
2/29/20,538244.9382092984,400.0174658482396,12.616687024023888,1053.0,34.121421321931486,46.0,232.3484494160408,29.0,33.7286963932121
3/1/20,537966.1175214505,650.8123948715541,29.40802525857112,1577.0,44.35658659662977,83.0,233.22482683509273,34.0,33.94033776159389
3/2/20,537593.818605028,979.6479698364076,55.43677571846288,1835.0,60.461888634346415,149.0,234.4126924055337,52.0,34.223105419821366
3/3/20,537079.654791783,1429.6000057540891,93.87675327491328,2263.0,84.39303358136748,160.0,236.0734810791919,79.0,34.61394380521987
3/4/20,536358.0477496524,2058.2537340870144,149.50645292101962,2706.0,119.12082480182013,276.0,238.426852108859,107.0,35.16310002561829
3/5/20,535338.0911318585,2944.8743768353006,229.28629383453816,3296.0,168.9882140299348,414.0,241.77885061505344,148.0,35.94056689131667
3/6/20,533892.6405074447,4199.906288738741,343.2021188505227,3916.0,240.23492347886767,523.0,246.5604985209312,197.0,37.04490910670625
3/7/20,531843.6104272653,5977.67138054016,505.46364366868374,5061.0,341.74418613348337,589.0,253.38142629645222,233.0,38.61552725852994
3/8/20,528942.3702080727,8493.178294321422,736.175535905065,6387.0,486.08397368144074,622.0,263.1046714306586,366.0,40.84976006409329
3/9/20,524844.2611968981,12043.776773324247,1063.626157223664,7985.0,690.9313419986407,724.0,276.95070103809854,463.0,44.026666277740745
3/10/20,519076.94545631035,17035.68065910931,1527.3531178891637,8794.0,980.9755433885355,724.0,296.6409499662161,631.0,48.53983719402308
3/11/20,511004.16411659506,24013.555762348813,2182.1199420382777,10590.0,1390.3764622786084,1045.0,324.593306630404,827.0,54.942077820614664
3/12/20,499790.5943925756,33687.448486072266,3102.8238075603563,13052.0,1965.7768189072738,1045.0,364.18305701864176,1016.0,64.00503682672236
3/13/20,484381.3656474362,46943.94827550675,4390.061303098878,14955.0,2769.6717010101906,1439.0,420.08077968985214,1266.0,76.7963957037071
3/14/20,463522.8379825737,64816.44093920703,6175.475547408908,17750.0,3883.542747358801,1966.0,498.6698398649936,1441.0,94.77519045172153
3/15/20,435868.80118715507,88373.52797780663,8624.946167203389,20603.0,5409.473989184797,2335.0,608.5245135516589,1809.0,119.9008718466414
3/16/20,400230.4839701774,118473.02482897864,11936.144884550242,23073.0,7467.9776393031725,2749.0,760.8880142732071,2158.0,154.74212608352215
3/17/20,356017.1326478876,155343.22100563548,16325.400976804574,26062.0,10188.770212364203,2941.0,970.0232687446367,2503.0,202.5562458879652
3/18/20,303836.7185187021,198030.6343566084,21998.617644983755,28710.0,13691.193653829683,4025.0,1253.2278039932523,2978.0,267.29118246992476
3/19/20,246054.04750236997,243919.56005628884,29104.7152479411,33190.0,18053.551140794105,4440.0,1630.2487310232732,3405.0,353.44978478193025
3/20/20,186898.68949065992,288717.16333955084,37679.91857873194,38549.0,23277.190729122132,4440.0,2121.8859066057516,4032.0,465.7678241603785
3/21/20,131709.40837570326,327281.2444805931,47604.60170964655,42681.0,29259.911971997648,6072.0,2747.8142512147947,4825.0,608.7132996719898
3/22/20,85351.43982002142,355208.1100112817,58600.39021860268,46638.0,35796.84078149077,7024.0,3524.0645691608593,5476.0,785.9083113880745
3/23/20,50575.740459437555,370389.0307209418,70280.90003061744,50826.0,42616.89612963562,7024.0,4460.945708726469,6077.0,999.6534813811808
3/24/20,27351.87325711028,373533.5176846253,82238.11911963907,54030.0,49441.91475303822,8326.0,5562.143525116893,6820.0,1250.7236461867597
3/25/20,13521.308165116545,367380.5539163109,94123.66302199854,57521.0,56040.75140564235,9362.0,6825.219129287826,7503.0,1538.4853655073418
3/26/20,6135.368292153283,355288.81407135376,105691.77456573129,62013.0,62256.521391642935,10361.0,8243.099197124413,8215.0,1861.242051762041
3/27/20,2570.093733457503,340121.2270801778,116799.54260078025,66414.0,68004.73246114216,10950.0,9805.855839634301,9134.0,2216.64490366225
3/28/20,1000.3693962301113,323812.1986053984,127381.9832948507,70065.0,73254.80773231221,12384.0,11502.217853583163,10023.0,2602.041310146463
3/29/20,364.21473169656514,307452.59860916494,137422.39922457052,73880.0,78008.98557053524,13030.0,13320.592666548922,10779.0,3014.710168968109
3/30/20,124.83473747280487,291565.938507912,146929.3997489322,75528.0,82286.20864780802,14620.0,15249.640731617608,11591.0,3451.993941610625
3/31/20,40.52287577436852,276361.84762828186,155922.8525219005,77635.0,86112.3675056683,15729.0,17278.545417088717,12428.0,3911.3605077055804
4/1/20,12.524034192965878,261900.28395851448,164426.63074037276,80572.0,89515.30982593636,16847.0,19397.112510083207,13155.0,4390.425763697342
4/2/20,3.6996681507726343,248178.31326256067,172465.34405472616,83049.0,92522.62294341667,18278.0,21595.787831040256,13915.0,4886.957369520952
4/3/20,1.0454139858945508,235169.7612676286,180063.03671250585,85388.0,95160.77890144428,19758.0,23865.640498089673,14681.0,5398.870599103998
4/4/20,0.28054227471639437,222841.372542378,187242.73954643565,88274.0,97454.86789453716,20996.0,26198.33387425611,15362.0,5924.221370619502
4/5/20,0.0695272648004939,211158.78191702603,194026.35546890393,91246.0,99428.55968161504,21815.0,28586.09327592715,15887.0,6461.198547066255
4/6/20,0.014683796811598203,200088.51752883408,200434.66340378197,93187.0,101104.14443611618,22837.0,31021.673812925794,16523.0,7008.116282646132
4/7/20,0.00216905652641967,189598.58746962325,206487.3600066173,94067.0,102502.59750521011,24392.0,33498.329476275096,17127.0,7563.406671150768
4/8/20,0.0001530183717420853,179658.59765272742,212203.11129514003,95262.0,103643.64898172933,26491.0,36009.78377619737,17669.0,8125.612765222975
4/9/20,3.301981795440165e-06,170239.7249853137,217599.60522567388,96877.0,104545.8520263564,28470.0,38550.20196190784,18279.0,8693.381972989022
4/10/20,1.9132992215123963e-08,161314.65082023694,222693.6025217828,98273.0,105226.64817667475,30455.0,41114.164783986686,18849.0,9265.459822368715
4/11/20,3.904932907863213e-11,152857.48713362476,227500.98524120142,100269.0,105702.42945282778,32534.0,43696.64366842284,19468.0,9840.684061894188
4/12/20,8.722829565335013e-09,144843.70253234237,232036.80305278866,102253.0,105988.59736211992,34211.0,46292.977200580746,19899.0,10417.97907376113
4/13/20,-7.78413690721855e-10,137250.05109121386,236315.31697937165,103616.0,106099.61857479936,35435.0,48898.848974565764,20465.0,10996.35061200342
4/14/20,4.590351996580542e-11,130054.50930598468,240350.03807938646,104291.0,106049.07421908964,37130.0,51510.26795734548,21067.0,11574.881137517928
4/15/20,6.581540565951787e-10,123236.20458374663,244153.771319163,105418.0,105849.715208876,38092.0,54123.54667684722,21645.0,12152.724641043136
4/16/20,-5.696641449846048e-10,116775.35923307178,247738.64993460095,106607.0,105513.50591865183,40164.0,56735.28386951313,22170.0,12729.102521639212
4/17/20,-5.531868499761415e-10,110653.2336118105,251116.1703108702,106962.0,105051.66820368843,42727.0,59342.34711312881,22745.0,13303.299464331474
4/18/20,1.63651077140573e-10,104852.06967138703,254297.2266185271,107771.0,104474.7250246145,44927.0,61941.855650435646,23227.0,13874.659363799083
4/19/20,6.483532743461497e-10,99355.04057974079,257292.14172003447,108257.0,103792.53931133408,47055.0,64531.16511209491,23660.0,14442.581699365986
4/20/20,6.561859068945656e-10,94146.20166503008,260110.6972662287,108237.0,103014.3517222076,48877.0,67107.85270794174,24114.0,15006.518021857706
4/21/20,-1.8360383697593212e-10,89210.44394236642,262762.1622080786,107709.0,102148.81632897886,51600.0,69669.70326582486,24648.0,15565.968642285241
4/22/20,-7.802289902264907e-10,84533.45084759404,265255.31934084604,107699.0,101204.03376247617,54543.0,72214.69629428924,25085.0,16120.479564035943
4/23/20,-5.381425521554364e-10,80101.65629035718,267598.4910388292,106848.0,100187.58327174543,57576.0,74740.99349954305,25549.0,16669.63952345618
4/24/20,7.302667497021492e-10,75902.20520895948,269799.563455288,106527.0,99106.55279230926,60498.0,77246.92710907811,25969.0,17213.07722236919
4/25/20,-1.2732511843221896e-10,71922.91677491285,271866.00909665925,105847.0,97967.56692354126,63120.0,79730.98903561242,26384.0,17750.45876039334
4/26/20,3.5888114175319214e-11,68152.24864962732,273804.908751489,106103.0,96776.81403799818,64928.0,82191.82040462406,26644.0,18281.485154026643
4/27/20,6.745848740314134e-11,64579.26326266862,275622.97217893065,105813.0,95540.07178104772,66624.0,84628.20173435999,26977.0,18805.8900109869
4/28/20,-8.728141636825092e-11,61193.59785324765,277326.55648851045,105205.0,94262.72966527773,68941.0,87039.04425867519,27359.0,19323.43747574609
4/29/20,-4.9459142726525126e-11,57985.43214849615,278921.6859697715,104657.0,92949.81338207962,71252.0,89423.38061674815,27682.0,19833.920025754338
4/30/20,-3.43541524770367e-10,54945.459139168925,280414.07002160454,101551.0,91606.00671695714,75945.0,91780.3564873951,27967.0,20337.156491861017
5/1/20,4.4796743718381896e-10,52064.86054086569,281809.1182069681,100943.0,90235.66987285849,78249.0,94109.22362636586,28236.0,20832.9904114446
5/2/20,-5.258845835969275e-10,49335.28164547481,283111.95568178623,100704.0,88842.85820136614,79914.0,96409.33276807326,28710.0,21321.288349918574
5/3/20,1.4553436394336828e-11,46748.80533618614,284327.4391368499,100179.0,87431.34152731748,81654.0,98680.126314459,28884.0,21801.938172176586
5/4/20,2.2448666440654643e-10,44297.92901243549,285460.1709546107,99980.0,86004.62123403433,82879.0,100921.13190204017,29079.0,22274.8475223703
5/5/20,-1.3738584187704079e-10,41975.54343877196,286514.51218555414,98467.0,84565.9458523267,85231.0,103131.95656180465,29315.0,22739.94244446448
5/6/20,-2.0530843897003995e-11,39774.91234936825,287494.5950609767,91528.0,83118.32604701727,93245.0,105312.28112364885,29684.0,23197.16606098782
5/7/20,2.7685817569204753e-10,37689.65271015175,288404.3351023295,89624.0,81664.54907900696,96276.0,107461.85483375347,29958.0,23646.477302459574
5/8/20,5.004320032539855e-10,35713.71609991343,289247.44254406024,87961.0,80207.19239250239,99023.0,109580.4903204271,30201.0,24087.849719603004
5/9/20,2.8047635661441646e-10,33841.37108865007,290027.4331446318,84842.0,78748.63642842314,103031.0,111668.0588658987,30395.0,24521.2703681946
5/10/20,-9.366088773221761e-11,32067.186550574374,290747.6384241218,83324.0,77291.07670929347,105186.0,113724.48596743018,30560.0,24946.738762629397
5/11/20,-6.114630009019603e-11,30386.016234476232,291411.21513042675,82488.0,75836.53494572162,106587.0,115749.74728635591,30739.0,25364.265921608447
5/12/20,-9.826108071605118e-12,28792.98376286071,292021.154442411,81266.0,74386.8698094429,109039.0,117743.86472924078,30911.0,25773.873445199042
5/13/20,4.745180691670426e-11,27283.468413295755,292580.29069316154,78457.0,72943.78710114842,112541.0,119706.9027676397,31106.0,26175.592648526796
5/14/20,-7.663708519428936e-12,25853.091686957752,293091.30961028475,76440.0,71508.84931025752,115288.0,121638.96499717509,31368.0,26569.463752260726
5/15/20,-2.6194091232168355e-11,24497.70461366795,293556.756104369,72070.0,70083.48460657438,120205.0,123540.19091991546,31610.0,26955.53512608389
5/16/20,1.94039145378336e-11,23213.375735121735,293979.04164136667,70187.0,68668.99530987206,122810.0,125410.75293152772,31763.0,27333.862580743884
5/17/20,3.7968031668156426e-11,21996.37972688904,294360.45122308726,68351.0,67266.56586901756,125176.0,127250.85350030362,31908.0,27704.508705611926
5/18/20,-2.6274216442390965e-11,20843.186560892733,294703.1500361008,66553.0,65877.27042734413,127326.0,129060.72250756073,32007.0,28067.542244505792
5/19/20,-6.597744058248162e-11,19750.45127049419,295009.1897309367,65129.0,64502.07992750373,129401.0,130840.61476734179,32169.0,28423.037514019605
5/20/20,3.616279032353199e-11,18715.0042635953,295280.51436507073,62752.0,63141.8687990486,132282.0,132590.80770796462,32330.0,28771.073860210523
5/21/20,9.92892575652007e-11,17733.84211529548,295518.9660517032,60960.0,61797.42128147967,134560.0,134311.5991947232,32486.0,29111.735148731343
5/22/20,-4.587521794735915e-11,16804.118860378232,295726.2903018863,59322.0,60469.437368139945,136720.0,136003.3054990834,32616.0,29445.10928966804
5/23/20,-1.6711592133328327e-10,15923.137738668236,295904.14108881075,57752.0,59158.538407812106,138840.0,137666.25939963394,32735.0,29771.287793579482
5/24/20,-5.703724933332888e-11,15088.343368078098,296054.08564970194,56594.0,57865.272384087795,140479.0,139300.80840665344,32785.0,30090.36535680224
5/25/20,4.271328535103121e-11,14297.314341405712,296177.6090277437,55300.0,56590.118875641354,141981.0,140907.31310902376,32877.0,30402.43947571854
5/26/20,1.2642657840856632e-12,13547.756210292851,296276.1183764741,52942.0,55333.493727055575,144658.0,142486.1456312737,32955.0,30707.6100870763
5/27/20,-9.827384481379053e-11,12837.494784457447,296350.94707075774,50966.0,54095.75348394534,147101.0,144037.6881803035,33072.0,31005.979229523742
5/28/20,-2.494844077996812e-12,12164.469875091048,296403.35854525946,47986.0,52877.199496870584,150604.0,145562.33171778164,33142.0,31297.65073486478
5/29/20,1.353328030853935e-10,11526.729302912221,296434.5499705512,46175.0,51678.08182917095,152844.0,147060.47470642088,33229.0,31582.729936774576
5/30/20,1.4061129039088239e-11,10922.423234630696,296445.6557277354,43691.0,50498.60292163184,155633.0,148532.52194781537,33340.0,31861.32340115259
5/31/20,-1.839484823179167e-10,10349.798817315526,296437.7507003003,42075.0,49338.92103755209,157507.0,149978.8835025589,33415.0,32133.538675911062
6/1/20,-5.455740566101402e-11,9807.195093758122,296411.85339358373,41367.0,48199.15350138513,158355.0,151399.97368741815,33475.0,32399.484058957518
6/2/20,2.596790815745268e-10,9293.038184510544,296368.92889063107,39893.0,47079.379742161,160092.0,152796.2101450925,33530.0,32659.268383309663
6/3/20,1.825035987702197e-10,8805.8367261619,296309.8916508484,39297.0,45979.64415003087,160938.0,154168.01298316478,33601.0,32913.00081853464
6/4/20,-3.78708100024122e-10,8344.177539082322,296235.6081678738,38429.0,44899.958766145624,161895.0,155515.80397447298,33689.0,33160.790686672415
6/5/20,-5.567568299277611e-10,7906.721523429421,296146.89948740805,36976.0,43840.30580725395,163781.0,156840.00581817815,33774.0,33402.74729246761
6/6/20,4.6334063765866655e-10,7492.199793051243,296044.5435790948,35877.0,42800.64001887769,165078.0,158141.04146343458,33846.0,33638.9797683508
6/7/20,1.2802817787944435e-09,7099.40998465566,295929.27760087716,35262.0,41780.890903008956,165837.0,159419.33347853972,33899.0,33869.59693012698
6/8/20,-2.2742372443505092e-10,6727.212770315686,295801.80003860226,34730.0,40780.96480037653,166584.0,160675.30347273106,33964.0,34094.70714505711
6/9/20,-2.553860418234424e-09,6374.528552835885,295662.7727334339,32872.0,39800.74684266564,168646.0,161909.3715647451,34043.0,34314.41821093971
6/10/20,-1.1075922552830791e-09,6040.334334357212,295512.8228029851,31710.0,38840.10278212225,169939.0,163121.9558952172,34114.0,34528.837245499526
6/11/20,4.232911126598557e-09,5723.66074911641,295352.5444617501,30637.0,37898.88070553787,171338.0,164313.47218018168,34167.0,34738.070585433146
6/12/20,5.6016000623651534e-09,5423.589256207889,295182.50074337487,28997.0,36976.91263609852,173085.0,165484.33330418597,34223.0,34942.223694756285
6/13/20,-4.198743427324316e-09,5139.249460481692,295003.22514429985,27485.0,36074.016045904886,174865.0,166634.94894474978,34301.0,35141.401080505886
6/14/20,-1.6127093190739385e-08,4869.816603034938,294815.22316334525,26274.0,35189.995250586566,176370.0,167765.72523805697,34345.0,35335.70621811379
6/15/20,-1.0003893722168628e-08,4614.509165965022,294618.97377120756,25909.0,34324.64272539127,177010.0,168877.06447171888,34371.0,35525.241483120655
6/16/20,1.8530021283876574e-09,4372.586603453498,294414.93080250063,24569.0,33477.74033459131,178526.0,169969.36480737742,34405.0,35710.1080898773
6/17/20,3.403155280075822e-09,4143.347193763403,294203.524273556,23925.0,32649.06047830936,179455.0,171043.02003151324,34448.0,35890.40603684518
6/18/20,-2.5294801522173195e-09,3926.1260038317823,293985.1616311412,23101.0,31838.367162998326,180544.0,172098.419332107,34514.0,36066.2340579401
6/19/20,-3.5188380239335136e-09,3720.2929605988143,293760.2289357146,21543.0,31045.417000021294,181907.0,173135.9470994476,34561.0,36237.68957951501
6/20/20,2.5780085743764053e-09,3525.251024207065,293529.09198219544,21212.0,30269.96013604145,182453.0,174155.98274964248,34610.0,36404.86868263981
6/21/20,6.174159620681928e-09,3340.434456427872,293292.0973623005,20972.0,29511.741120079816,182893.0,175158.90056901495,34634.0,36567.86607024894
6/22/20,-1.8942806125814597e-09,3165.30717282624,293049.57347549614,20637.0,28770.499715217225,183426.0,176145.06957660255,34657.0,36726.77503850398
6/23/20,-9.294700106250849e-09,2999.3611986900532,292801.83147628274,19573.0,28045.971642096138,184585.0,177114.85340877902,34675.0,36881.68745330253
