,Susceptible,Exposed,Asymptomatic,Infected data,Infected,Recovered,Predicted Recovered,Death data,Predicted Deaths
2/18/20,15420635.0,0.0,0.0,11.0,55.9085166299791,3.0,289.2663796544556,0.0,359.8482317545879
2/19/20,15420133.530022804,251.89646288251964,0.6281946692414215,11.0,56.32681678948129,3.0,289.2632600792171,0.0,603.5345740513696
2/20/20,15419628.29531357,505.45824291491994,2.5086487458236078,11.0,57.58511054552161,3.0,289.26937235023996,0.0,847.2175160591969
2/21/20,15419115.483663969,764.4679587297736,5.649321731120693,11.0,59.695214419783525,5.0,289.2939497379637,0.0,1090.897584962208
2/22/20,15418591.201568402,1032.757837721385,10.077050628328328,11.0,62.68159962393886,5.0,289.3463533396223,0.0,1334.5753152420793
2/23/20,15418051.416644095,1314.2666463904636,15.837791568894387,11.0,66.58165146878542,5.0,289.43621171872775,0.0,1578.251256649947
2/24/20,15417491.898475267,1613.0977181327708,22.997145516082053,11.0,71.44611983767524,5.0,289.57356336165054,0.0,1821.9259823391503
2/25/20,15416908.157011118,1933.5789361601744,31.64117339442074,10.0,77.3397657740092,6.0,289.7690040613884,0.0,2065.600097279266
2/26/20,15416295.377620032,2280.325549153333,41.87751030280046,10.0,84.34221213800089,6.0,290.0338413916662,0.0,2309.2742470749254
2/27/20,15415648.3518617,2658.3067306330713,53.83679285721105,11.0,92.54900926979602,6.0,290.3802585211431,0.0,2552.949127317853
2/28/20,15414961.402986601,3072.9168375271643,67.67441817746572,10.0,102.0729296509283,7.0,290.8214897320449,0.0,2796.6254936070954
2/29/20,15414228.305096827,3530.052390404906,83.57265795955259,17.0,113.04550895632863,7.0,291.37201017854625,1.0,3040.3041723821975
3/1/20,15413442.194829244,4036.1958624698837,101.74315593380045,24.0,125.61885424010094,7.0,292.0477425863112,1.0,3283.9860727235296
3/2/20,15412595.474306356,4598.507469710908,122.42984287202539,42.0,139.9677440900608,7.0,292.866283863029,6.0,3527.672199289321
3/3/20,15411679.704028439,5224.926218511524,145.91230790717177,60.0,156.2920487655304,7.0,293.84715475636455,7.0,3771.3636665684576
3/4/20,15410685.484176427,5924.281656272774,172.50967332663797,89.0,174.8195042623464,7.0,295.0120761775356,11.0,4015.061714655597
3/5/20,15409602.322681613,6706.417873400018,202.58502603138805,165.0,195.80887845244965,7.0,296.38527607696494,12.0,4258.76772677048
3/6/20,15408418.488271683,7582.33143998832,236.55046547626853,216.0,219.55357210282781,7.0,297.99383111122694,14.0,4502.483248763456
3/7/20,15407120.846447963,8564.32519697497,274.8728381619121,379.0,246.38570483454407,7.0,299.8680479502584,17.0,4746.210010884039
3/8/20,15405694.67615651,9666.179998753894,318.08023723985946,491.0,276.6807420653278,7.0,302.0418895428473,21.0,4989.949952116102
3/9/20,15404123.464639744,10903.346760376317,366.76935700247833,565.0,310.86272691627767,7.0,304.5534523325993,22.0,5233.705247421795
3/10/20,15402388.677837204,12293.161270589128,421.61379767364633,746.0,349.4101850348572,8.0,307.44550072089464,28.0,5477.47833825366
3/11/20,15400469.502760362,13855.085112286379,483.3734514718242,1106.0,392.86279556769995,8.0,310.766067362646,33.0,5721.27196682508
3/12/20,15398342.559152985,15610.975199446766,552.905070724377,1531.0,441.82889995803487,12.0,314.56912580837906,43.0,5965.089214510952
3/13/20,15395981.576009143,17585.386064602135,631.1741829371059,2156.0,496.9939659074058,12.0,318.9153462335684,51.0,6208.933544991719
3/14/20,15393357.028849736,19805.9087188757,719.268508420179,2908.0,559.130117149337,12.0,323.87294428753535,58.0,6452.808852713565
