date,state,city,place_type,confirmed,deaths,order_for_place,is_last,popEst,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-04-13,TO,TOTAL,state,26,0,27,True,1572866.0,17.0,1.65303,
2020-04-12,TO,TOTAL,state,26,0,26,False,1572866.0,17.0,1.65303,
2020-04-11,TO,TOTAL,state,25,0,25,False,1572866.0,17.0,1.58946,
2020-04-10,TO,TOTAL,state,23,0,24,False,1572866.0,17.0,1.4623,
2020-04-09,TO,TOTAL,state,23,0,23,False,1572866.0,17.0,1.4623,
2020-04-08,TO,TOTAL,state,23,0,22,False,1572866.0,17.0,1.4623,
2020-04-07,TO,TOTAL,state,19,0,21,False,1572866.0,17.0,1.20799,
2020-04-06,TO,TOTAL,state,19,0,20,False,1572866.0,17.0,1.20799,
2020-04-05,TO,TOTAL,state,17,0,19,False,1572866.0,17.0,1.08083,
2020-04-04,TO,TOTAL,state,16,0,18,False,1572866.0,17.0,1.01725,
2020-04-03,TO,TOTAL,state,13,0,17,False,1572866.0,17.0,0.82652,
2020-04-02,TO,TOTAL,state,12,0,16,False,1572866.0,17.0,0.76294,
2020-04-01,TO,TOTAL,state,12,0,15,False,1572866.0,17.0,0.76294,
2020-03-31,TO,TOTAL,state,12,0,14,False,1572866.0,17.0,0.76294,
2020-03-30,TO,TOTAL,state,11,0,13,False,1572866.0,17.0,0.69936,
2020-03-29,TO,TOTAL,state,10,0,12,False,1572866.0,17.0,0.63578,
2020-03-28,TO,TOTAL,state,9,0,11,False,1572866.0,17.0,0.5722,
2020-03-27,TO,TOTAL,state,9,0,10,False,1572866.0,17.0,0.5722,
2020-03-26,TO,TOTAL,state,8,0,9,False,1572866.0,17.0,0.50863,
2020-03-25,TO,TOTAL,state,7,0,8,False,1572866.0,17.0,0.44505,
2020-03-24,TO,TOTAL,state,7,0,7,False,1572866.0,17.0,0.44505,
2020-03-23,TO,TOTAL,state,7,0,6,False,1572866.0,17.0,0.44505,
2020-03-22,TO,TOTAL,state,5,0,5,False,1572866.0,17.0,0.31789,
2020-03-21,TO,TOTAL,state,2,0,4,False,1572866.0,17.0,0.12716,
2020-03-20,TO,TOTAL,state,1,0,3,False,1572866.0,17.0,0.06358,
2020-03-19,TO,TOTAL,state,1,0,2,False,1572866.0,17.0,0.06358,
2020-03-18,TO,TOTAL,state,1,0,1,False,1572866.0,17.0,0.06358,
2020-04-13,TO,Araguaína,city,6,0,18,True,180470.0,1702109.0,3.32465,
