date,state,city,place_type,confirmed,deaths,order_for_place,is_last,popEst,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,DRS
2020-04-14,SP,TOTAL,state,9371,695,48,True,45919049.0,35.0,20.40765,0.0742,Indefinido
2020-04-13,SP,TOTAL,state,8895,608,47,False,45919049.0,35.0,19.37105,0.0684,Indefinido
2020-04-12,SP,TOTAL,state,8755,588,46,False,45919049.0,35.0,19.06616,0.0672,Indefinido
2020-04-11,SP,TOTAL,state,8419,560,45,False,45919049.0,35.0,18.33444,0.0665,Indefinido
2020-04-10,SP,TOTAL,state,8216,540,44,False,45919049.0,35.0,17.89236,0.0657,Indefinido
2020-04-09,SP,TOTAL,state,7480,496,43,False,45919049.0,35.0,16.28954,0.0663,Indefinido
2020-04-08,SP,TOTAL,state,6708,428,42,False,45919049.0,35.0,14.60832,0.0638,Indefinido
2020-04-07,SP,TOTAL,state,5682,371,41,False,45919049.0,35.0,12.37395,0.0653,Indefinido
2020-04-06,SP,TOTAL,state,4866,304,40,False,45919049.0,35.0,10.59691,0.0625,Indefinido
2020-04-05,SP,TOTAL,state,4620,275,39,False,45919049.0,35.0,10.06118,0.0595,Indefinido
2020-04-04,SP,TOTAL,state,4466,260,38,False,45919049.0,35.0,9.72581,0.0582,Indefinido
2020-04-03,SP,TOTAL,state,4048,219,37,False,45919049.0,35.0,8.81551,0.0541,Indefinido
2020-04-02,SP,TOTAL,state,3506,188,36,False,45919049.0,35.0,7.63518,0.0536,Indefinido
2020-04-01,SP,TOTAL,state,2981,164,35,False,45919049.0,35.0,6.49186,0.055,Indefinido
2020-03-31,SP,TOTAL,state,2339,136,34,False,45919049.0,35.0,5.09375,0.0581,Indefinido
2020-03-30,SP,TOTAL,state,1517,113,33,False,45919049.0,35.0,3.30364,0.0745,Indefinido
2020-03-29,SP,TOTAL,state,1451,98,32,False,45919049.0,35.0,3.15991,0.0675,Indefinido
2020-03-28,SP,TOTAL,state,1406,84,31,False,45919049.0,35.0,3.06191,0.0597,Indefinido
2020-03-27,SP,TOTAL,state,1223,68,30,False,45919049.0,35.0,2.66338,0.0556,Indefinido
2020-03-26,SP,TOTAL,state,1052,58,29,False,45919049.0,35.0,2.2909900000000003,0.0551,Indefinido
2020-03-25,SP,TOTAL,state,862,48,28,False,45919049.0,35.0,1.87722,0.0557,Indefinido
2020-03-24,SP,TOTAL,state,810,40,27,False,45919049.0,35.0,1.76397,0.0494,Indefinido
