DRS,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
DRS 01 - Grande São Paulo,2020-03-15,150,280.0e3,1e-4,1e-4,1e-4,1e-4,1e-4,1500,0.1,0.4,0.1
DRS 02 - Araçatuba,2020-03-30,150,100,1,0,0,0,,,,,
DRS 03 - Araraquara,2020-03-31,150,100,1,0,0,0,,,,,
DRS 04 - Baixada Santista,2020-04-01,150,8.0e3,1e-4,1e-4,1e-4,1e-4,1e-4,1500,0.1,0.4,0.1
DRS 05 - Barretos,2020-04-05,,,,,,,
DRS 06 - Bauru,,,,,,,,,,,,
DRS 07 - Campinas,2020-04-01,150,8.0e3,1e-4,1e-4,1e-4,1e-4,1e-4,1500,0.1,0.4,10
DRS 08 - Franca,,,,,,,,,,,,
DRS 09 - Marília,,,,,,,,,,,,
DRS 10 - Piracicaba,,,,,,,,,,,,
DRS 11 - Presidente Prudente,,,,,,,,,,,,
DRS 12 - Registro,,,,,,,,,,,,
DRS 13 - Ribeirão Preto,2020-04-01,70,8.0e3,1e-4,1e-4,1e-4,1e-4,1e-4,1500,0.1,0.4,0.1
DRS 14 - São João da Boa Vista,,,,,,,,,,,,
DRS 15 - São José do Rio Preto,,,,,,,,,,,,
DRS 16 - Sorocaba,,,,,,,,,,,,
DRS 17 - Taubaté,2020-04-01,70,10.0e3,1e-4,1e-4,1e-4,1e-4,1e-4,1500,0.08,0.4,0.0
