mun_id,mun_descr,ra_id,ra_descr,ra_desc_abrevi,rg_id,rg_descr,rg_desc_abrevi,rm_id,rm_descr,rm_desc_abrevi,dir_id,dir_descr,areakm2,densidade,POPU 2020
3503901,Arujá,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,96,917,89744
3505708,Barueri,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,66,3989,264390
3506607,Biritiba Mirim,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,317,101,32338
3509007,Caieiras,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,98,1016,100612
3509205,Cajamar,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,131,580,77627
3510609,Carapicuíba,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,35,11354,394598
3513009,Cotia,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,324,749,247424
3513801,Diadema,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,31,13108,404477
3515004,Embu das Artes,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,70,3804,270790
3515103,Embu-Guaçu,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,156,434,68053
3515707,Ferraz de Vasconcelos,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,30,6445,193037
3516309,Francisco Morato,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,49,3516,174403
3516408,Franco da Rocha,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,133,1131,152201
3518305,Guararema,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,271,107,29429
3518800,Guarulhos,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,319,4200,1351275
3522208,Itapecerica da Serra,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,151,1114,169619
3522505,Itapevi,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,83,2829,237714
3523107,Itaquaquecetuba,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,83,4424,370589
3525003,Jandira,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,17,6994,123603
3526209,Juquitiba,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,522,58,30401
3528502,Mairiporã,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,321,302,98622
3529401,Mauá,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,62,7366,460132
3530607,Mogi das Cruzes,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,713,601,432905
3534401,Osasco,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,65,10460,680964
3539103,Pirapora do Bom Jesus,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,108,171,18851
3539806,Poá,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,17,6641,115538
3543303,Ribeirão Pires,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,99,1195,118968
3544103,Rio Grande da Serra,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,36,1355,49816
3545001,Salesópolis,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,425,39,16838
3546801,Santa Isabel,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,363,150,55086
3547304,Santana de Parnaíba,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,180,751,138132
3547809,Santo André,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,176,3938,693867
3548708,São Bernardo do Campo,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,410,1973,812086
3548807,São Caetano do Sul,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,15,9858,151244
3549953,São Lourenço da Serra,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,186,83,15579
3550308,São Paulo,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,1521,7765,11869660
3552502,Suzano,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,206,1397,291002
3552809,Taboão da Serra,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,20,13727,283871
3556453,Vargem Grande Paulista,681,Região Metropolitana de São Paulo,RM São Paulo,,,,681,Região Metropolitana de São Paulo,São Paulo,1,DRS 01 - Grande São Paulo,42,1218,52762
