index,date,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths,DRS
0,2020-03-21,20268871.0,0.0,0.0,41.01791933298104,0.0,232.15219249613568,Grande Sao Paulo
1,2020-03-22,20253749.270823915,15120.294170468891,0.8189217561591998,41.42849498913754,5.675225873933854,232.15219249613568,Grande Sao Paulo
2,2020-03-23,20237658.803575736,31206.366732729137,3.3232450657979977,42.96361110616083,11.216837861339377,232.15219249613568,Grande Sao Paulo
3,2020-03-24,20219510.385885127,49347.14352901196,7.670854420935438,45.72856853277014,16.61992754900424,232.15219249613568,Grande Sao Paulo
4,2020-03-25,20198083.08953428,70763.04709878695,14.144110358915546,49.911688421546486,21.870203120607208,232.15219249613568,Grande Sao Paulo
5,2020-03-26,20171944.18329289,96886.05142066217,23.16793342339613,55.796373472053006,26.94310384323152,232.15219249613568,Grande Sao Paulo
6,2020-03-27,20139356.90870392,129451.8572034716,35.33723945576479,63.77940611895338,31.80223930549131,232.15219249613568,Grande Sao Paulo
7,2020-03-28,20098171.046151966,170609.25766916646,51.4552495311837,74.39649965177331,36.39707407704053,232.15219249613568,Grande Sao Paulo
8,2020-03-29,20045691.301749665,223051.66078173718,72.58464252867219,88.35641483266208,40.659746778453496,232.15219249613568,Grande Sao Paulo
9,2020-03-30,19978517.996533826,290176.2815561696,100.11428730575878,106.58546745664972,44.50086254948439,232.15219249613568,Grande Sao Paulo
10,2020-03-31,19892354.885763146,376276.17057172005,135.84497133903554,130.2847057575301,48.06670595250396,232.412198505972,Grande Sao Paulo
11,2020-04-01,19781781.416806106,486767.7642989914,182.09743309935936,161.00196346884096,51.842772428738186,233.5509031642029,Grande Sao Paulo
12,2020-04-02,19639987.98486334,628455.389945091,241.8472104466853,200.721798044689,55.91651154172028,235.8229038073988,Grande Sao Paulo
13,2020-04-03,19458483.393042777,809823.5137913029,318.8887982919628,251.97497693181958,60.3841505267167,239.5372984417549,Grande Sao Paulo
14,2020-04-04,19226791.22384572,1041340.0205186693,418.03211658365166,317.96951347240747,65.36870467979165,245.0859266269437,Grande Sao Paulo
