,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths
2020-03-16,280000.0,0.0001,0.0001,0.0001,0.0001,80.0
2020-03-17,279999.9394953609,0.060306042926095905,0.00033863949901009026,0.00015901667704845815,0.00010046144584507283,80.00000047855923
2020-03-18,279999.75446750934,0.24383099245432094,0.0015390666139365773,0.0004578928685165916,0.00010257982304623735,80.00000195874104
2020-03-19,279999.0654332451,0.9270787790842564,0.006159654020610939,0.0016094253233533244,0.00011139852492174898,80.00000749781425
2020-03-20,279996.4598543539,3.5107260216638436,0.023670904037881885,0.0059745536232402256,0.00014569138039260968,80.00002847523646
2020-03-21,279986.596603191,13.290942212872412,0.08996834752736572,0.022501878541827593,0.000276449250435485,80.00010792067259
2020-03-22,279949.26026519755,50.312938880096866,0.34094568264352565,0.08506912322880722,0.0007723988083112827,80.00040871721016
2020-03-23,279807.97095539403,190.41245543333088,1.2909021874274293,0.321888860746946,0.002650717933540182,80.00154740588121
2020-03-24,279273.933654259,719.9490301352955,4.884374486134504,1.217724729089852,0.0097597890625837,80.00585660079878
2020-03-25,277264.4411445769,2712.4545644714553,18.447081434762445,4.598830600601803,0.03663333911764411,80.0221455769826
2020-03-26,269829.3977482752,10083.924199685986,69.20493589286299,17.25227033029262,0.13778796549369124,80.08345784973272
2020-03-27,243974.7022523654,35707.971176326,253.34890549761184,63.15477809753412,0.5126339674962093,80.31065374526068
2020-03-28,171305.3147275887,107624.46625468008,854.3468265466934,212.93569776219726,1.8286701732410748,81.10822324847042
2020-03-29,59040.29679058776,218042.9754416743,2327.58885901844,579.8353227755038,5.793637667327906,83.5103482762021
2020-03-30,5266.939680452655,268984.51790500345,4584.041865889978,1140.7507655955305,14.79234805853517,88.95783499940094
2020-03-31,87.30112180996599,271097.7935813811,7021.85809518064,1744.788916177762,30.06642436100624,98.19226108900683
2020-04-01,0.26087546270083056,268137.2064516373,9438.288156856039,2341.233016443136,51.73826333889572,111.27363626181236
2020-04-02,0.00014402977456663417,265123.9069587129,11821.147725913366,2927.0802183589635,79.72687354852252,128.1384794361371
2020-04-03,1.5087345758180487e-08,262144.21545031585,14170.683836091906,3502.4377931110025,113.94408508130306,148.71923538388947
2020-04-04,3.0784667335411757e-13,259198.01214829623,16487.28786824401,4067.4484635681115,154.30269434139245,172.94922555036257
2020-04-05,1.2540957187011242e-18,256284.92082571756,18771.347097553185,4622.253274208145,200.7165228801519,200.76267964144483
2020-04-06,1.0560084867957079e-24,253404.56934170084,21023.244401481028,5166.991526335627,253.10040595142993,232.09472453150363
2020-04-07,4.416313425864713e-27,250556.58973756223,23243.358309636096,5701.800798816101,311.37018089426647,266.88137309192274
2020-04-08,2.5664181200903475e-25,247740.6181901314,25432.06305243992,6226.816968320185,375.4426758228969,305.0595132860461
2020-04-09,1.2310128492726092e-21,244956.29496519847,27589.728609642178,6742.174229477996,445.2356983559866,346.5668973258585
2020-04-10,1.1560590105828638e-17,242203.26437155696,29716.720758210977,7248.005114771872,520.6680244904844,391.3421309703241
2020-04-11,3.535092870935857e-17,239481.1747155659,31813.401119684775,7744.440514199207,601.6593876008205,439.32466295030144
2020-04-12,-1.851328799253524e-17,236789.6782562211,33880.12720699178,8231.609694708048,688.1304675620363,490.4547745185615
2020-04-13,5.1446216238022426e-18,234128.431160733,35917.252470742686,8709.640319407912,780.0028799955157,544.6735691235157
2020-04-14,3.692317889685955e-18,231497.09346060106,37925.12634500273,9178.658466558896,877.1991656358155,601.9229622051478
2020-04-15,3.3188501665418317e-18,228895.32900818557,39904.09429254944,9638.788648340662,979.6427798173945,662.1456711118129
2020-04-16,2.937059753844312e-18,226322.80543376433,41854.49784962105,10090.15382940491,1087.2580820797155,725.285205136418
2020-04-17,5.200625672747029e-17,223779.19410307324,43776.674670161956,10532.875445212578,1199.9703258895424,791.2858556706992
2020-04-18,8.105487802588066e-16,221264.17007532335,45670.95856957112,10967.073420159928,1317.7056484790737,860.0926864761959
2020-04-19,9.621163607759735e-16,218777.41206169283,47537.679567955776,11392.866185493767,1440.3910607984064,931.6515240704373
2020-04-20,-8.801895926075213e-16,216318.60238428076,49377.16393290274,11810.370697020428,1567.954437581479,1005.9089482273139
2020-04-21,1.3004031264247755e-15,213887.42693552485,51189.73422176625,12219.702452609192,1700.3245075238008,1082.8122825900025
2020-04-22,2.387289052199261e-15,211483.57513807272,52975.70932348057,12620.975509493213,1837.430843570961,1162.309585395319
2020-04-23,-1.1207277203933761e-15,209106.73990511388,54735.40449990265,13014.302501370294,1979.2038533164857,1244.3496403081356
2020-04-24,-6.662406144529055e-16,206756.61760114218,56469.1314266898,13399.79465530547,2125.574769507971,1328.8819473646183
2020-04-25,-1.933317066381749e-15,204432.90800317007,58177.198233717296,13777.561808438055,2276.475640660228,1415.8567140230275
2020-04-26,1.7151137350816575e-15,202135.3142623752,59859.90954504208,14147.71242449508,2431.839321774215,1505.2248463208132
2020-04-27,1.5787483587622553e-15,199863.54286617882,61517.56651841643,14510.353610113465,2591.5994651605142,1596.9379401367855
2020-04-28,1.5875857885318971e-15,197617.30360075046,63150.466884357615,14865.59113097308,2755.6905113663292,1690.9482725572032
2020-04-29,3.2092412698183757e-15,195396.30951393332,64758.90498477788,15213.529427742935,2924.0476802046737,1787.208793344411
2020-04-30,-1.0624893183648777e-15,193200.2768785874,66343.17181118028,15554.271631842481,3096.606961884724,1885.6731165070205
2020-05-01,3.835687468778327e-15,191028.92515634306,67903.55504242463,15887.91958102029,3273.3051082421384,1986.295511970362
2020-05-02,4.040935963456968e-15,188881.97696176372,69440.33908206894,16214.573834752073,3454.0796240681993,2089.0308973460624
2020-05-03,-2.490209513262862e-16,186759.15802691007,70953.8050952909,16534.333689460324,3638.8687585367466,2193.834829799606
2020-05-04,1.7540558154111702e-16,184660.19716630282,72444.23104539393,16847.29719355715,3827.6114967277204,2300.6634980147282
2020-05-05,2.7923747721875244e-16,182584.82624227979,73911.89172990271,17153.561162312857,4020.247551246272,2409.473714253542
2020-05-06,7.429144811864493e-16,180532.78013074133,75357.05881625281,17453.221192552093,4216.717353936307,2520.222906511268
2020-05-07,-3.775025234705485e-15,178503.79668728184,76780.00087707915,17746.37167717947,4416.9620476876025,2632.8691107644217
2020-05-08,3.1709707418920424e-15,176497.61671370117,78180.98342510684,18033.105819536493,4620.92347833512,2747.3709633116223
2020-05-09,2.814978914518073e-15,174513.9839248923,79560.26894765055,18313.51564759192,4828.544186649677,2863.6876932054747
2020-05-10,1.1738938879187159e-15,172552.6449161022,80918.11694072509,18587.69202796745,5039.767400418992,2981.7791147749354
2020-05-11,-3.3770754844951595e-15,170613.349130559,82254.78394277276,18855.724679800547,5254.537026617976,3101.605620236864
2020-05-12,1.360205827769715e-15,168695.84882746532,83570.52356801138,19117.70218844628,5472.797643667305,3223.1281723958036
2020-05-13,-1.395366066474316e-15,166799.89905034783,84865.58653940662,19373.71201902001,5694.494493779278,3346.308297430916
2020-05-14,3.801921898543586e-15,164925.25759576666,86140.22072127459,19623.84052978289,5919.573475390002,3471.1080777691245
