,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths
2020-04-01,8000.0,0.0001,0.0001,0.0001,0.0001,0.0001
2020-04-02,7938.057398954829,62.753301067795064,0.12827707368610425,0.032143984908572544,0.00016391544753518794,-0.9707849966680387
2020-04-03,42.64119632980578,7899.324693519632,47.323752107224195,11.831012460846091,0.04264876598464897,-1.1628031834936177
2020-04-04,6.00787502927477e-19,7793.700480978818,164.76854306779097,41.192209919561236,0.43212827230045,-0.0928622384640001
2020-04-05,-6.357372658925693e-39,7648.169736192803,279.5996575128058,69.89998825039424,1.2472938676875946,1.0838241763161514
2020-04-06,1.1240085161788644e-58,7505.356467877646,391.84083375552666,97.96028203165713,2.4785111387741163,2.3644051964033412
2020-04-07,7.497971669064032e-80,7365.209932952352,501.5421182395069,125.38560287423576,4.116328095289456,3.746517838621888
2020-04-08,-4.735491045801153e-101,7227.680335854814,608.7526165285453,152.18822716907744,6.151475611613046,5.227844835956847
2020-04-09,-6.157803816923278e-122,7092.7188108489045,713.5205108996872,178.3802004854407,8.574863988090396,6.806113777883048
2020-04-10,1.1378814020041592e-144,6960.2774046619725,815.8930776076209,203.97334188699503,11.377579576650522,8.479096266769412
2020-04-11,-2.8498143696320097e-168,6830.309059446512,915.9167038266083,228.97924816730327,14.550881469523201,10.244607090058306
2020-04-12,4.603744496814758e-192,6702.767596060039,1013.6369042759727,253.40929800619372,18.086198249877924,12.10050340792523
2020-04-13,5.203707400063742e-217,6577.607697657109,1109.0983375350463,277.27465604849715,21.975124803227487,14.04468395612975
2020-04-14,2.753463886164546e-242,6454.784893587784,1202.3448220533894,300.586276906601,26.20941918846158,16.07508826377393
2020-04-15,-1.6260485181377372e-268,6334.25554359673,1293.4193518619547,323.35490908824045,30.78099956739662,18.18969588568971
2020-04-16,-8.88590957093033e-295,6215.976822317362,1382.3641119907945,345.5910988509263,35.68194119174833,20.386525649182122
2020-04-17,-1.013e-321,6099.906704055538,1469.220493598785,367.30519398437474,40.90447344645512,22.66363491486009
2020-04-18,0.0,5986.003947857399,1554.0291088207389,388.50734752228635,46.440976948298236,25.019118851291292
2020-04-19,0.0,5874.228082855958,1636.8298053372375,409.2075213848038,52.28398069879079,27.451109723224988
2020-04-20,0.0,5764.5393938914285,1717.6616806722373,429.41548995291333,58.42615929031275,29.957776193125206
2020-04-21,0.0,5656.898907399984,1796.5630962236667,449.1408435760947,64.86033016450605,32.537322635769726
2020-04-22,0.0,5551.268377566023,1873.5716910319297,468.3929920144465,71.57945092194963,35.18798846566879
