,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths
2020-04-01,10000.0,0.0001,0.0001,4.0,0.0001,0.0001
2020-04-02,9812.060973243795,186.92284903391223,0.8116780420102276,4.109169720533717,0.0015441436602299397,0.09418581606153237
2020-04-03,9613.538609106881,382.36712750236677,3.2640358380742813,4.623425133521784,0.011654889899481437,0.19554752920961083
2020-04-04,9386.783638318793,603.7941291119323,7.498581443984585,5.570649331347869,0.03948463400280918,0.3139171598677937
2020-04-05,9114.098946782455,868.52465478949,13.806160548654805,7.015290501182453,0.09523822314995432,0.46010915496190113
2020-04-06,8777.238929378611,1194.2378889025902,22.62775626593229,9.0578880351191,0.19106914476735903,0.6468682728254241
2020-04-07,8357.768715839798,1598.6093530331154,34.55594018232806,11.834793872843914,0.3418847606964847,0.8897123110056399
2020-04-08,7838.5821349315665,2097.7999993492026,50.3284299635264,15.515942830482876,0.5661426582200588,1.2077502667989408
2020-04-09,7206.902208896281,2703.4868932276318,70.80243127161918,20.29790046511666,0.8865670796795864,1.6243990594437845
2020-04-10,6458.842030656636,3418.3742186987315,96.89663227670091,26.389018697881024,1.3306482924291598,2.1678513773943546
2020-04-11,5604.904329987301,4230.820232462495,129.48990915175798,33.98413030208384,1.9307209435507795,2.871077152581514
2020-04-12,4674.619146840258,5110.381755474247,169.27617592650535,43.2288326379002,2.723382277345193,3.7711068435157475
2020-04-13,3717.344636304388,6007.225913270612,216.59578091874744,54.17860805771605,3.748059475519221,4.907401972791057
2020-04-14,2796.284646732027,6858.296727331867,271.290465597044,66.7645274932432,5.044715203428073,6.319317642162352
2020-04-15,1975.2729566582198,7600.607737084028,332.64474211778185,80.78099037900309,6.650982935959384,8.042990824785404
2020-04-16,1302.4219953800923,8187.503684439178,399.46040296875276,95.90666511024577,8.599333218144558,10.108318883360724
2020-04-17,798.1260049423408,8600.408482637498,470.25769773719895,111.75641124502457,10.914992235105435,12.536811202601942
2020-04-18,453.4206182736186,8850.142737459671,543.5344678633564,127.94659113963168,13.615127579415725,15.340857684084524
2020-04-19,238.6117219220555,8968.016563620924,617.9882955542968,144.1500154009529,16.709356033549913,18.52444746801835
2020-04-20,116.38026945319106,8992.573528927174,692.6360629961139,160.12447871363275,20.201178314411674,22.08488159528498
2020-04-21,52.68741795836908,8958.670573659047,766.8241367679462,175.71370256740263,24.08974994540692,26.014819101640356
2020-04-22,22.185182692686524,8892.141701082885,840.1672784672547,190.8306293218308,28.371494512000144,30.304113923158436
2020-04-23,8.708886229585616,8809.409194063232,912.4645050225347,205.4353274235406,33.04131073534867,34.941176525581305
2020-04-24,3.1950020299791886,8719.657471761459,983.6249529196467,219.51578362907514,38.09334803178077,39.913841627890456
2020-04-25,1.0981504728583011,8627.480156101688,1053.616189563327,233.0746047332225,43.5214451540708,45.20985397466632
2020-04-26,0.35448248260276943,8534.954598592767,1122.4336630596756,246.1211940791842,49.31935204953884,50.81710973605829
2020-04-27,0.10772273649734487,8442.935498199337,1190.0848719878359,258.6677132102042,55.48083122551705,56.72376264044095
2020-04-28,0.030889513825547305,8351.742299807418,1256.5820287400786,270.7272184492243,61.99969975747637,62.91826373180907
2020-04-29,0.008377035099958317,8261.480944707473,1321.9389775958432,282.3128838745796,68.86984495720282,69.38937182963505
2020-04-30,0.0021532913208310786,8172.17914703534,1386.170010284444,293.4377077250173,76.08522939390092,76.12615226980202
2020-05-01,0.0005257505073003135,8083.838150535426,1449.2894469393304,304.11441339888864,83.63989196418999,83.1179714114777
2020-05-02,0.00012218743980795438,7996.450918973093,1511.3114993865129,314.3554220343339,91.52794760994449,90.35448980849358
2020-05-03,2.708468211062434e-05,7910.008051480376,1572.250230455147,324.1728492947183,99.74358661033067,97.82565507456637
2020-05-04,5.737557805513327e-06,7824.499572473401,1632.1195435879674,333.57850966874526,108.28107375344844,105.52169477870153
2020-05-05,1.1637735790714281e-06,7739.915437659564,1690.9331813629738,342.5839228612188,117.13474748120996,113.43310947107503
2020-05-06,2.2644181350039635e-07,7656.24566777338,1748.7047264614096,351.2003206389544,126.29901903428332,121.5506658653493
2020-05-07,4.234258455958634e-08,7573.480381241924,1805.4476032566326,359.43865367316505,135.76837160421695,129.86539018153923
2020-05-08,7.622447672736323e-09,7491.609801049728,1861.1750795406122,367.3095982597067,145.5373594944974,138.3685616476542
2020-05-09,1.3232747522314456e-09,7410.624255392865,1915.9002682675089,374.8235628903896,155.60060729087337,147.05170615686166
2020-05-10,2.2190401746836015e-10,7330.514176924141,1969.6361292860518,381.9906946718342,165.95280904094827,155.90659007662535
2020-05-11,3.6003142902357626e-11,7251.27010170217,2022.3954710545424,388.820885593851,176.58872744295581,164.92521420626952
2020-05-12,5.660519702069158e-12,7172.882668088836,2074.190952337347,395.3237786505226,187.50319304362606,174.0998078794866
2020-05-13,8.637217643355356e-13,7095.342615646263,2125.0350838827894,401.50877381735,198.69110344504085,183.42282320837762
2020-05-14,1.2809585846537427e-13,7018.640784043344,2174.940230082595,407.3850338878038,210.14742252038013,192.88692946569896
2020-05-15,1.84911298312953e-14,6942.768111973643,2223.918610613091,412.9614901725571,221.8671796384625,202.4850076020647
2020-05-16,2.601742655672913e-15,6867.715636084963,2271.982302058347,418.24684806460044,233.84546889698188,212.21014489492663
2020-05-17,3.57293849772849e-16,6793.474489920419,2319.1432395154643,423.24959247336125,246.07744836434483,222.05562972623338
2020-05-18,4.795320908259231e-17,6720.035902870997,2365.4132181821806,427.97799313089115,258.55833933001594,232.01494648573663
2020-05-19,6.297883624707153e-18,6647.391199139431,2410.8038949270376,432.4401097730926,271.28342556327345,242.0817705969881
2020-05-20,8.10389843481006e-19,6575.5317967152505,2455.326789842232,436.6437971989104,284.248052580287,252.2499636631363
2020-05-21,1.0229100442156755e-19,6504.44920636096,2498.993287779404,440.59671021032403,297.4476269194239,262.5135687297026
2020-05-22,1.2680348790560522e-20,6434.135030609126,2541.81463986849,444.3063084359306,310.8776154246916,272.8668056615783
2020-05-23,1.5454906289183865e-21,6364.580962770318,2583.801965019887,447.77986104082703,324.5335445372317,283.30406663155117
2020-05-24,1.8540412183761484e-22,6295.778785951816,2624.966251410049,451.0244513254464,338.41099959477066,293.81991171773353
2020-05-25,2.1915546776209835e-23,6227.720372086866,2665.3183579507454,454.0469812159428,352.5056241389448,304.40906460732356
2020-05-26,2.555131612898428e-24,6160.397680974456,2704.8690157421224,456.85417564864866,366.8131192304091,315.0664084041892
2020-05-27,2.941282907820384e-25,6093.802759329493,2743.62882950977,459.4525868510838,381.32924277164835,325.7869815378304
2020-05-28,3.346140318412212e-26,6027.927739843217,2781.608279025962,461.84859852192557,396.0498088374004,336.56597377132226
2020-05-29,3.765682313445149e-27,5962.764840253775,2818.817720515229,464.0484299123043,410.9706870126126,347.39872230590544
2020-05-30,4.195958297904253e-28,5898.306362426869,2855.2673880444545,466.05813981072,426.08780173784373,358.28070797994144
