,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths
2020-04-01,10000.0,0.0001,0.0001,17.0,0.0001,2.0
2020-04-02,7641.22281905412,2351.8357784634795,5.781221064218726,18.385455651879045,0.041229422469360774,1.7337963438501096
2020-04-03,4782.045831832115,5187.885702407191,24.311450811117126,22.958399003229392,0.1297863150011572,1.669129631359842
2020-04-04,1942.5756965072972,7985.7502250050275,57.35360200351714,31.15953250387762,0.32090580745877934,1.840338172831559
2020-04-05,410.1642178843756,9462.642215984857,101.25297032845202,42.075179337310814,0.6672762336932054,2.1984402313243687
2020-04-06,39.816228911588446,9772.305883330217,149.06901094698773,53.97020255812505,1.1979919649141046,2.640982288176523
2020-04-07,1.7254700268682253,9749.11088587141,197.18895510078613,65.94140924365728,1.9200228367964984,3.113556920479517
2020-04-08,0.033478498501297825,9689.822387437984,244.89683781485883,77.8098074196624,2.8326697813257646,3.605119047665723
2020-04-09,0.000293048201092389,9629.253664020689,292.13632652702,89.56131321766702,3.9341214832573566,4.114581703163356
2020-04-10,1.1663765645851563e-06,9569.031015449093,338.90877744189135,101.19626496346106,5.2225072753484705,4.64173370383206
2020-04-11,2.1274829757296687e-09,9509.184720005896,385.21767943953375,112.715534154247,6.695968433061893,5.186397965135277
2020-04-12,1.7924087689570677e-12,9449.712711998862,431.0665332180805,124.11999524428892,8.352660253224034,5.748399285544328
2020-04-13,7.028756540027104e-16,9390.61265172662,476.4588157355833,135.41051675536548,10.190751988193215,6.327563794228739
2020-04-14,1.2927694422743257e-19,9331.882212968878,521.3979800950257,146.58796124801378,12.208426750268547,6.923718937797543
2020-04-15,1.1237720539204103e-23,9273.51908405178,565.8874556999932,157.65318536043893,14.403881416526032,7.536693471235912
2020-04-16,4.652048194136898e-28,9215.520967759074,609.9306484102943,168.60703984740883,16.775326534279785,8.166317448915729
2020-04-17,9.240488884732685e-33,9157.885581241651,653.5309406965816,179.45036961890233,19.32098622716411,8.81242221566534
2020-04-18,8.873377379078883e-38,9100.610655927758,696.6916917939741,190.18401377850472,22.03909810183218,9.474840397897763
