date,state,city,place_type,confirmed,deaths,order_for_place,is_last,popEst,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,DRS
2020-05-18,SP,TOTAL,state,63066,4823,82,True,45919049.0,35.0,137.34169,0.0765,Indefinido
2020-05-17,SP,TOTAL,state,62345,4782,81,False,45919049.0,35.0,135.77154,0.0767,Indefinido
2020-05-16,SP,TOTAL,state,61183,4688,80,False,45919049.0,35.0,133.241,0.0766,Indefinido
2020-05-15,SP,TOTAL,state,58378,4501,79,False,45919049.0,35.0,127.13242,0.0771,Indefinido
2020-05-14,SP,TOTAL,state,54286,4315,78,False,45919049.0,35.0,118.22109,0.0795,Indefinido
2020-05-13,SP,TOTAL,state,51097,4118,77,False,45919049.0,35.0,111.27626,0.0806,Indefinido
2020-05-12,SP,TOTAL,state,47719,3949,76,False,45919049.0,35.0,103.91984,0.0828,Indefinido
2020-05-11,SP,TOTAL,state,46131,3743,75,False,45919049.0,35.0,100.46158,0.0811,Indefinido
2020-05-10,SP,TOTAL,state,45444,3709,74,False,45919049.0,35.0,98.96546,0.0816,Indefinido
2020-05-09,SP,TOTAL,state,44411,3608,73,False,45919049.0,35.0,96.71585,0.0812,Indefinido
2020-05-08,SP,TOTAL,state,41830,3416,72,False,45919049.0,35.0,91.09509,0.0817,Indefinido
2020-05-07,SP,TOTAL,state,39928,3206,71,False,45919049.0,35.0,86.95302,0.0803,Indefinido
2020-05-06,SP,TOTAL,state,37853,3045,70,False,45919049.0,35.0,82.4342,0.0804,Indefinido
2020-05-05,SP,TOTAL,state,34053,2851,69,False,45919049.0,35.0,74.15876999999998,0.0837,Indefinido
2020-05-04,SP,TOTAL,state,32187,2654,68,False,45919049.0,35.0,70.09509,0.0825,Indefinido
2020-05-03,SP,TOTAL,state,31772,2627,67,False,45919049.0,35.0,69.19133000000001,0.0827,Indefinido
2020-05-02,SP,TOTAL,state,31174,2586,66,False,45919049.0,35.0,67.88904000000001,0.083,Indefinido
2020-05-01,SP,TOTAL,state,30374,2511,65,False,45919049.0,35.0,66.14684,0.0827,Indefinido
2020-04-30,SP,TOTAL,state,28698,2375,64,False,45919049.0,35.0,62.49694,0.0828,Indefinido
2020-04-29,SP,TOTAL,state,26158,2247,63,False,45919049.0,35.0,56.96547,0.0859,Indefinido
2020-04-28,SP,TOTAL,state,24041,2049,62,False,45919049.0,35.0,52.35518,0.0852,Indefinido
2020-04-27,SP,TOTAL,state,21696,1825,61,False,45919049.0,35.0,47.24837,0.0841,Indefinido
2020-04-26,SP,TOTAL,state,20715,1700,60,False,45919049.0,35.0,45.111999999999995,0.0821,Indefinido
2020-04-25,SP,TOTAL,state,20004,1667,59,False,45919049.0,35.0,43.56362,0.0833,Indefinido
2020-04-24,SP,TOTAL,state,17826,1512,58,False,45919049.0,35.0,38.82049,0.0848,Indefinido
2020-04-23,SP,TOTAL,state,16740,1345,57,False,45919049.0,35.0,36.45546,0.0803,Indefinido
2020-04-22,SP,TOTAL,state,15914,1134,56,False,45919049.0,35.0,34.65664,0.0713,Indefinido
2020-04-21,SP,TOTAL,state,15385,1093,55,False,45919049.0,35.0,33.50461,0.071,Indefinido
2020-04-20,SP,TOTAL,state,14580,1037,54,False,45919049.0,35.0,31.75153,0.0711,Indefinido
2020-04-19,SP,TOTAL,state,14267,1015,53,False,45919049.0,35.0,31.06989,0.0711,Indefinido
2020-04-18,SP,TOTAL,state,13894,991,52,False,45919049.0,35.0,30.2576,0.0713,Indefinido
2020-04-17,SP,TOTAL,state,12841,928,51,False,45919049.0,35.0,27.96443,0.0723,Indefinido
2020-04-16,SP,TOTAL,state,11568,853,50,False,45919049.0,35.0,25.19216,0.0737,Indefinido
2020-04-15,SP,TOTAL,state,11043,778,49,False,45919049.0,35.0,24.04884,0.0705,Indefinido
2020-04-14,SP,TOTAL,state,9371,695,48,False,45919049.0,35.0,20.40765,0.0742,Indefinido
2020-04-13,SP,TOTAL,state,8895,608,47,False,45919049.0,35.0,19.37105,0.0684,Indefinido
2020-04-12,SP,TOTAL,state,8755,588,46,False,45919049.0,35.0,19.06616,0.0672,Indefinido
2020-04-11,SP,TOTAL,state,8419,560,45,False,45919049.0,35.0,18.33444,0.0665,Indefinido
2020-04-10,SP,TOTAL,state,8216,540,44,False,45919049.0,35.0,17.89236,0.0657,Indefinido
2020-04-09,SP,TOTAL,state,7480,496,43,False,45919049.0,35.0,16.28954,0.0663,Indefinido
2020-04-08,SP,TOTAL,state,6708,428,42,False,45919049.0,35.0,14.60832,0.0638,Indefinido
2020-04-07,SP,TOTAL,state,5682,371,41,False,45919049.0,35.0,12.37395,0.0653,Indefinido
2020-04-06,SP,TOTAL,state,4866,304,40,False,45919049.0,35.0,10.59691,0.0625,Indefinido
2020-04-05,SP,TOTAL,state,4620,275,39,False,45919049.0,35.0,10.06118,0.0595,Indefinido
2020-04-04,SP,TOTAL,state,4466,260,38,False,45919049.0,35.0,9.72581,0.0582,Indefinido
2020-04-03,SP,TOTAL,state,4048,219,37,False,45919049.0,35.0,8.81551,0.0541,Indefinido
2020-04-02,SP,TOTAL,state,3506,188,36,False,45919049.0,35.0,7.63518,0.0536,Indefinido
2020-04-01,SP,TOTAL,state,2981,164,35,False,45919049.0,35.0,6.49186,0.055,Indefinido
2020-03-31,SP,TOTAL,state,2339,136,34,False,45919049.0,35.0,5.09375,0.0581,Indefinido
2020-03-30,SP,TOTAL,state,1517,113,33,False,45919049.0,35.0,3.30364,0.0745,Indefinido
2020-03-29,SP,TOTAL,state,1451,98,32,False,45919049.0,35.0,3.15991,0.0675,Indefinido
2020-03-28,SP,TOTAL,state,1406,84,31,False,45919049.0,35.0,3.06191,0.0597,Indefinido
2020-03-27,SP,TOTAL,state,1223,68,30,False,45919049.0,35.0,2.66338,0.0556,Indefinido
2020-03-26,SP,TOTAL,state,1052,58,29,False,45919049.0,35.0,2.2909900000000003,0.0551,Indefinido
2020-03-25,SP,TOTAL,state,862,48,28,False,45919049.0,35.0,1.87722,0.0557,Indefinido
2020-03-24,SP,TOTAL,state,810,40,27,False,45919049.0,35.0,1.76397,0.0494,Indefinido
2020-03-23,SP,TOTAL,state,745,30,26,False,45919049.0,35.0,1.62242,0.0403,Indefinido
2020-03-22,SP,TOTAL,state,631,22,25,False,45919049.0,35.0,1.37416,0.0349,Indefinido
2020-03-21,SP,TOTAL,state,396,15,24,False,45919049.0,35.0,0.86239,0.0379,Indefinido
2020-03-20,SP,TOTAL,state,396,9,23,False,45919049.0,35.0,0.86239,0.0227,Indefinido
2020-03-19,SP,TOTAL,state,286,5,22,False,45919049.0,35.0,0.62284,0.0175,Indefinido
2020-03-18,SP,TOTAL,state,240,3,21,False,45919049.0,35.0,0.52266,0.0125,Indefinido
2020-03-17,SP,TOTAL,state,164,1,20,False,45919049.0,35.0,0.35715,0.0061,Indefinido
2020-03-16,SP,TOTAL,state,152,0,19,False,45919049.0,35.0,0.33102,0.0,Indefinido
2020-03-14,SP,TOTAL,state,65,0,18,False,45919049.0,35.0,0.14155,0.0,Indefinido
2020-03-12,SP,TOTAL,state,46,0,17,False,45919049.0,35.0,0.10018,0.0,Indefinido
2020-03-11,SP,TOTAL,state,30,0,16,False,45919049.0,35.0,0.06533,0.0,Indefinido
2020-03-10,SP,TOTAL,state,19,0,15,False,45919049.0,35.0,0.04138,0.0,Indefinido
2020-03-09,SP,TOTAL,state,16,0,14,False,45919049.0,35.0,0.03484,0.0,Indefinido
2020-03-08,SP,TOTAL,state,16,0,13,False,45919049.0,35.0,0.03484,0.0,Indefinido
2020-03-07,SP,TOTAL,state,13,0,12,False,45919049.0,35.0,0.02831,0.0,Indefinido
2020-03-06,SP,TOTAL,state,10,0,11,False,45919049.0,35.0,0.02178,0.0,Indefinido
2020-03-05,SP,TOTAL,state,6,0,10,False,45919049.0,35.0,0.013069999999999998,0.0,Indefinido
2020-03-04,SP,TOTAL,state,3,0,9,False,45919049.0,35.0,0.006529999999999999,0.0,Indefinido
2020-03-03,SP,TOTAL,state,2,0,8,False,45919049.0,35.0,0.00436,0.0,Indefinido
2020-03-02,SP,TOTAL,state,2,0,7,False,45919049.0,35.0,0.00436,0.0,Indefinido
2020-03-01,SP,TOTAL,state,2,0,6,False,45919049.0,35.0,0.00436,0.0,Indefinido
2020-02-29,SP,TOTAL,state,2,0,5,False,45919049.0,35.0,0.00436,0.0,Indefinido
