DRS,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
DRS 01 - Grande São Paulo,2020-03-20,200,1.4e6,1e-4,1e-4,500,300,200,0,0.1,0.1,0.1
DRS 02 - Araçatuba,2020-04-01,150,500,1e-4,1e-4,1e-4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 03 - Araraquara,2020-04-01,150,2e3,1e-4,1e-4,1e-4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 04 - Baixada Santista,2020-04-01,150,8.0e3,1e-4,1e-4,1e-4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 05 - Barretos,2020-04-01,150,2000,1e-4,1e-4,1e-4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 06 - Bauru,2020-04-01,150,10e3,1e-4,1e-4,4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 07 - Campinas,2020-04-01,150,20e3,1e-4,1e-4,40,1e-4,1e-4,0,0.1,0.4,0.1
DRS 08 - Franca,2020-04-01,150,1000,1e-4,1e-4,1e-4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 09 - Marília,2020-04-01,150,5e3,1e-4,1e-4,1e-4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 10 - Piracicaba,2020-04-01,150,10e3,1e-4,1e-4,1e-4,1e-4,1,0,0.1,0.4,0.1
DRS 11 - Presidente Prudente,2020-04-01,150,1e3,1e-4,1e-4,1e-4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 12 - Registro,2020-04-01,150,1000,1e-4,1e-4,1e-4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 13 - Ribeirão Preto,2020-04-01,150,5e3,1e-4,1e-4,1e-4,1e-4,1e-4,5,0.1,0.4,0.1
DRS 14 - São João da Boa Vista,2020-04-01,150,2.0e3,1e-4,1e-4,1e-4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 15 - São José do Rio Preto,2020-04-01,150,10e3,1e-4,1e-4,1e-4,1e-4,1e-4,0,0.1,0.4,0.1
DRS 16 - Sorocaba,2020-04-01,150,1200,1e-4,1e-4,2,1e-4,1e-4,0,0.1,0.4,0.1
DRS 17 - Taubaté,2020-04-01,150,10e3,1e-4,1e-4,17,1e-4,2,0,0.1,0.4,0.1
