DRS,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
DRS 01 - Grande São Paulo,2020-03-22,200,9061966,0,0,104,0,114,73,0.15,0.1525,0.0
DRS 02 - Araçatuba,2020-03-29,200,405914,0,0,57,0,45,153,0.15,0.1547,0.0
DRS 03 - Araraquara,2020-04-02,200,124037,0,0,215,0,235,221,0.15,0.1652,0.0
DRS 04 - Baixada Santista,2020-04-04,200,150002,0,0,100,0,89,225,0.15,0.2324,0.0
DRS 05 - Barretos,2020-04-03,200,175187,0,0,70,0,108,122,0.15,0.1636,0.0
DRS 06 - Bauru,2020-04-03,200,248351,0,0,6,0,184,80,0.15,0.2424,0.0
DRS 07 - Campinas,2020-04-01,200,1876478,0,0,195,0,27,93,0.15,0.1697,0.0
DRS 08 - Franca,2020-03-29,200,51660,0,0,56,0,214,65,0.15,0.1537,0.0
DRS 09 - Marília,2020-04-04,200,612778,0,0,58,0,134,162,0.15,0.1561,0.0
DRS 10 - Piracicaba,2020-03-30,200,191780,0,0,119,0,201,45,0.15,0.2317,0.0
DRS 11 - Presidente Prudente,2020-04-01,200,38889,0,0,98,0,144,174,0.15,0.2205,0.0
DRS 12 - Registro,2020-04-01,200,211575,0,0,237,0,132,225,0.15,0.1765,0.0
DRS 13 - Ribeirão Preto,2020-03-31,200,309431,0,0,39,0,89,137,0.15,0.1523,0.0
DRS 14 - São João da Boa Vista,2020-04-04,200,77856,0,0,186,0,1,108,0.15,0.2686,0.0
DRS 15 - São José do Rio Preto,2020-03-31,200,1092369,0,0,9,0,33,34,0.15,0.2018,0.0
DRS 16 - Sorocaba,2020-04-02,200,126885,0,0,63,0,80,23,0.15,0.1665,0.0
DRS 17 - Taubaté,2020-03-29,200,1823786,0,0,246,0,81,92,0.15,0.1779,0.0
