DRS,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
DRS 01 - Grande São Paulo,2020-03-19,200,2921449,0,0,1486,300,420,0,0.15,0.3075,0.0231
DRS 02 - Araçatuba,2020-04-01,150,737,0,0,0,0,0,0,0.1,0.304,0.0693
DRS 03 - Araraquara,2020-04-02,150,2136,0,0,0,0,0,0,0.1,0.5902,0.0231
DRS 04 - Baixada Santista,2020-03-31,150,9117,0,0,0,0,0,0,0.1,0.3442,0.0311
DRS 05 - Barretos,2020-04-02,150,2940,0,0,0,0,0,0,0.1,0.4106,0.0338
DRS 06 - Bauru,2020-04-02,150,13039,0,0,2,0,0,0,0.1,0.3072,0.0651
DRS 07 - Campinas,2020-04-02,150,16998,0,0,23,0,0,0,0.1,0.5317,0.0284
DRS 08 - Franca,2020-04-01,150,1044,0,0,0,0,0,0,0.1,0.7238,0.0538
DRS 09 - Marília,2020-04-02,150,6917,0,0,0,0,0,0,0.1,0.6089,0.033
DRS 10 - Piracicaba,2020-04-02,150,13995,0,0,0,0,0,0,0.1,0.4776,0.062
DRS 11 - Presidente Prudente,2020-04-02,150,1469,0,0,0,0,0,0,0.1,0.3908,0.0304
DRS 12 - Registro,2020-04-01,150,962,0,0,0,0,0,0,0.1,0.3219,0.0343
DRS 13 - Ribeirão Preto,2020-03-31,150,7213,0,0,0,0,0,2,0.1,0.6724,0.0262
DRS 14 - São João da Boa Vista,2020-03-30,150,2874,0,0,0,0,0,0,0.1,0.556,0.0759
DRS 15 - São José do Rio Preto,2020-03-30,150,14617,0,0,0,0,0,0,0.1,0.3014,0.0603
DRS 16 - Sorocaba,2020-04-01,150,1785,0,0,2,0,0,0,0.1,0.3061,0.0603
DRS 17 - Taubaté,2020-04-02,150,12730,0,0,29,0,0,0,0.1,0.3998,0.0259
