DRS,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
DRS 01 - Grande São Paulo,2020-03-17,200,12401753,0,0,77,0,144,28,0.15,0.6916,0.0
DRS 02 - Araçatuba,2020-04-03,200,764871,0,0,95,0,178,216,0.15,0.2348,0.0
DRS 03 - Araraquara,2020-03-31,200,559757,0,0,220,0,75,65,0.15,0.2097,0.0
DRS 04 - Baixada Santista,2020-03-29,200,1404254,0,0,128,0,162,68,0.15,0.2692,0.0
DRS 05 - Barretos,2020-04-01,200,292016,0,0,69,0,53,204,0.15,0.5739,0.0
DRS 06 - Bauru,2020-03-29,200,1579258,0,0,92,0,98,70,0.15,0.2023,0.0
DRS 07 - Campinas,2020-03-29,200,2296398,0,0,108,0,165,177,0.15,0.3124,0.0
DRS 08 - Franca,2020-04-04,200,269546,0,0,81,0,56,12,0.15,0.405,0.0
DRS 09 - Marília,2020-04-01,200,563617,0,0,151,0,51,188,0.15,0.4492,0.0
DRS 10 - Piracicaba,2020-04-04,200,1186414,0,0,105,0,3,131,0.15,0.3074,0.0
DRS 11 - Presidente Prudente,2020-04-03,200,347094,0,0,35,0,83,52,0.15,0.229,0.0
DRS 12 - Registro,2020-03-30,200,232449,0,0,130,0,70,54,0.15,0.4332,0.0
DRS 13 - Ribeirão Preto,2020-04-01,200,1121760,0,0,228,0,218,246,0.15,0.4427,0.0
DRS 14 - São João da Boa Vista,2020-04-02,200,455363,0,0,66,0,108,7,0.15,0.1983,0.0
DRS 15 - São José do Rio Preto,2020-03-28,200,1391515,0,0,166,0,215,173,0.15,0.3761,0.0
DRS 16 - Sorocaba,2020-03-31,200,1666563,0,0,97,0,228,8,0.15,0.214,0.0
DRS 17 - Taubaté,2020-03-30,200,1086096,0,0,156,0,32,128,0.15,0.2729,0.0
