date,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths
2020-03-31,1921360.0,0.0,0.0,90.19098723136409,0.0,109.48291697072395
2020-04-01,1917910.3032435926,3449.19222968421,0.2887722862072387,89.92254023652714,15.34602680850727,109.48291697072395
2020-04-02,1914467.3052772176,6890.678959324602,1.1517780399777566,90.04008806456343,30.650093106855955,109.48291697072395
2020-04-03,1911013.963023525,10341.503019440472,2.5862222851930117,90.54175137125469,45.91599262388461,109.48291697072395
2020-04-04,1907533.3958112749,13818.539883215271,4.592155533526163,91.42755189104317,61.14729035153016,109.48291697072395
2020-04-05,1904008.8085738625,17338.574498643957,7.172442602693559,92.69939160532441,76.34734149921606,109.48291697072395
2020-04-06,1900423.4037384575,20918.389419820163,10.33273493389528,94.36103424788476,91.51931306448532,109.48291697072395
2020-04-07,1896760.3144643614,24574.831552201922,14.08146728701697,96.41810309674842,106.66619953014751,109.48291697072395
2020-04-08,1893002.5272951114,28324.88947409352,18.429857929805443,98.87808110023619,121.79084104072369,109.48291697072395
2020-04-09,1889132.8114148509,32185.764127864302,23.39192441706867,101.75032141844721,136.89593953534995,109.48291697072395
2020-04-10,1885133.6504275624,36174.936964970875,28.984512608353132,105.046066809122,151.98407402862827,109.48291697072395
2020-04-11,1880987.1763974437,40310.23580446087,35.22733993289119,108.77847853184278,167.05771514977545,109.48291697072395
2020-04-12,1876675.0992797024,44609.90534811153,42.1430121311334,112.96264753243041,182.11924118846193,109.48291697072395
2020-04-13,1872178.6530676077,49092.660818025135,49.75713076175605,117.61566626607856,197.17094917997207,109.48291697072395
2020-04-14,1867478.5297600478,53777.75389027346,58.09833513797109,122.75665671391626,212.21506954661365,109.48291697072395
2020-04-15,1862554.8171702577,58685.03475626045,67.19836129792091,128.40680977972784,227.25378039621424,109.48291697072395
2020-04-16,1857386.9563545755,63834.9943836841,77.09220182600554,134.5894920633191,242.28921712279939,109.48291697072395
2020-04-17,1851953.6673215062,69248.83878681707,87.81810420926463,141.3302447621345,257.3234889387139,109.48291697072395
2020-04-18,1846232.9207186177,74948.5169580677,99.41776847113921,148.656915706414,272.35868924868583,109.48291697072395
2020-04-19,1840201.8705689383,80956.78802857471,111.93639197132302,156.59968928883464,287.3969095219045,109.48291697072395
2020-04-20,1833836.8234159139,87297.25182667171,125.42281907245862,165.19118645375724,302.44025247504896,109.48291697072395
2020-04-21,1827113.200680074,93994.38624779656,139.9296785762397,174.4665565154389,317.4908449336025,109.48291697072395
2020-04-22,1820005.4867779661,101073.59895680903,155.5134695665983,184.46353450797056,332.55085141988127,109.48291697072395
2020-04-23,1812487.2391581929,108561.21696129726,172.23475969791966,195.22257365766788,347.6224900354859,109.48291697072395
2020-04-24,1804531.019652468,116484.55509744342,190.15826396663272,206.7868980086034,362.70804427243144,109.48291697072395
2020-04-25,1796108.44114262,124871.86899424031,209.35302795780575,219.20262484597495,377.80988310001015,109.48291697072395
2020-04-26,1787190.1134313873,133752.40896739735,229.89254533596423,232.5188431892402,392.9304730454767,109.48291697072395
2020-04-27,1777745.6396277149,143156.4233651663,251.85489017863878,246.7877022014114,408.0723944834258,109.48291697072395
2020-04-28,1767743.7573322484,153115.017031865,275.3228842627905,262.0645229497431,423.2383699637062,109.48291697072395
2020-04-29,1757152.214864151,163660.27485325563,300.3842150516861,278.4078772302627,438.4312704213908,109.48291697072395
2020-04-30,1745937.9116342168,174825.12114233914,327.1315432770129,295.8796594411128,453.65414411615774,109.48291697072395
2020-05-01,1734067.0291890053,186643.18836515368,355.66260514589766,314.54515486488884,468.91024483678535,109.48291697072395
2020-05-02,1721504.9233331452,199148.9246914109,386.08038330199605,334.47315388426546,484.20303879009145,109.48291697072395
2020-05-03,1708216.4842710611,212377.23387185144,418.4930594265209,355.73592031537345,499.53625261986787,109.48291697072395
2020-05-04,1694166.1332169382,226363.47832276195,453.01416628371203,378.40929298626537,514.913889746763,109.48291697072395
2020-05-05,1679317.8969304885,241143.4043903189,489.76267777131966,402.5727458976896,530.3402532571125,109.48291697072395
2020-05-06,1663635.9357803152,256752.6146737455,528.8627532802237,428.3092174342616,545.8200071062231,109.48291697072395
2020-05-07,1647084.391845592,273226.71936979715,570.4440329726149,455.70530763403104,561.3581803108733,109.48291697072395
2020-05-08,1629627.8069362438,290600.9185986098,614.641411264068,484.8511268558121,576.9602187123451,109.48291697072395
2020-05-09,1611231.6417249888,308909.4838099446,661.5947001809493,515.8400708742789,592.6320451452428,109.48291697072395
2020-05-10,1591862.1231743828,328185.90968116664,711.4489898838976,548.7690617387067,608.3800636953723,109.48291697072395
2020-05-11,1571487.1083486292,348462.0516986602,764.3538293376228,583.7380003934716,624.2112481700177,109.48291697072395
2020-05-12,1550076.3099159305,369767.9006643675,820.4631939043632,620.8497450275746,640.1331778276209,109.48291697072395
2020-05-13,1527601.5016937368,392131.3771633544,879.9354519853536,660.2100887881575,656.1540716005492,109.48291697072395
2020-05-14,1504037.6101770361,415577.2423611149,942.932027870919,701.9268664553013,672.2828963252455,109.48291697072395
2020-05-15,1479362.689007064,440127.1227877806,1009.6177932407459,746.1102159957935,688.5293812039515,109.48291697072395
2020-05-16,1453558.6039115014,465798.8267829617,1080.160262474963,792.8720409651796,704.9040930418007,109.48291697072395
2020-05-17,1426612.0186571649,492605.36089486664,1154.7282413862556,842.3251077447959,721.4194929340207,109.48384332987821
2020-05-18,1398514.5734349983,520554.7522065646,1233.4914406336452,894.5827872937575,738.3302818542754,109.71356306642389
2020-05-19,1369263.7520709385,549649.1822085707,1316.6197824272267,949.7585919359972,755.884333130991,110.35468308289092
2020-05-20,1338863.5075378888,579884.3638260675,1404.2820018956686,1007.9652409830684,774.1436063042288,111.39825401506211
2020-05-21,1307324.8142023734,611248.9906091585,1496.6448147032656,1069.3141046285255,793.170736117795,112.8359892959018
2020-05-22,1274666.3010496337,643724.1057282715,1593.8716595512276,1133.9143638361907,813.0290483453496,114.66012657849424
2020-05-23,1240915.1018961992,677282.2547683308,1696.1209959501634,1201.8718731132951,833.7825788338603,116.86324157688863
2020-05-24,1206107.2431184722,711887.0998771879,1803.5452500328242,1273.2884562274155,855.4960549878815,119.43814793391125
2020-05-25,1170287.9817098058,747493.0845406649,1916.2892403238486,1348.2608544923398,878.2348018728027,122.37778427599847
2020-05-26,1133512.4868458004,784044.7546857295,2034.488669045622,1426.8797188372785,902.0647611332308,125.6750436792546
2020-05-27,1095845.8353707176,821476.7664498768,2158.2683320422034,1509.2284138901591,927.0523270606591,129.32266674783628
2020-05-28,1057363.5194982735,859713.3809501575,2287.740732081306,1595.382091550227,953.2643302094057,133.3131012831609
