,Susceptible,Exposed,Asymptomatic,Infected data,Infected,Recovered,Predicted Recovered,Death data,Predicted Deaths
3/1/20,4416664.0,0.0,0.0,2.0,1108.4128553318867,0.0,2012.1175283049627,0.0,383.54357284792735
3/2/20,4415932.355947017,721.632266172626,5.27760425026052,2.0,1089.7355532583588,0.0,2028.7753162928002,0.0,386.2992212418351
3/3/20,4415210.204589369,1414.3116701394513,18.425661828262115,2.0,1080.1777411175437,0.0,2050.056616820308,0.0,389.01956423512894
3/4/20,4414491.642609236,2084.6467227250037,36.50371130304328,4.0,1079.2324791621984,0.0,2079.2800032229725,0.0,391.72682738091567
3/5/20,4413771.0779631,2738.759519815799,57.627088936287734,4.0,1086.4819851720606,0.0,2118.5520494630737,0.0,394.44207782093133
3/6/20,4413043.172795642,3382.3552516934874,80.61274227622546,13.0,1101.5901982834048,0.0,2169.2081662267024,0.0,397.18543844107325
3/7/20,4412302.791097665,4020.785146323264,104.74271058541046,13.0,1124.2963155364575,0.0,2232.1055368120865,0.0,399.97628461098384
3/8/20,4411544.9504789915,4659.1036452882245,129.60639455058876,20.0,1154.409204718356,0.0,2307.8173288689454,0.0,402.83342582486114
3/9/20,4410764.7774920985,5302.120525428769,154.99556674061992,25.0,1191.8026084210815,0.0,2396.761106976927,0.0,405.77527433323195
3/10/20,4409957.465999311,5954.448603641726,180.8346738944412,31.0,1236.411064351653,0.0,2499.283480809027,0.0,408.8200026547409
3/11/20,4409118.238126339,6620.5475956807495,207.1347366416028,38.0,1288.226475943009,0.0,2615.7157392347076,0.0,411.9856916806504
3/12/20,4408242.307389046,7304.7646408365,233.9630206113512,52.0,1347.2952753811746,0.0,2746.410326583362,0.0,415.2904709294135
3/13/20,4407324.843618924,8011.371952370713,261.42323683715165,151.0,1413.7161283663572,0.0,2891.764750549229,0.0,418.75265237272225
3/14/20,4406360.9393468015,8744.60200758406,289.6427641997938,151.0,1487.638136378016,0.0,3052.237320130098,0.0,422.39085913547643
3/15/20,4405345.5773340305,9508.680650764867,318.764548031916,162.0,1569.2594979935266,0.0,3228.3576471510255,0.0,426.22415026856356
3/16/20,4404273.598966602,10307.858446349,348.94210737637115,199.0,1658.826595997322,1.0,3420.7338649726967,0.0,430.27214270360463
3/17/20,4403139.673250681,11146.440587732117,380.33660402702617,318.0,1756.6334816809756,2.0,3630.0578641617526,1.0,434.5551314209067
3/18/20,4401938.266168253,12028.815638855605,413.1152779465182,367.0,1863.0217319584308,2.0,3857.1094050499782,3.0,439.0942087951871
3/19/20,4400663.610168618,12959.483361595358,447.450780658055,613.0,1978.3806585973414,2.0,4102.759684398703,6.0,443.91138402974457
3/20/20,4399309.673587357,13943.08185901475,483.5211037398725,780.0,2103.1478524674144,2.0,4367.97472859137,11.0,449.0297035413413
3/21/20,4397870.12979947,14984.414242565406,521.5098979665282,1004.0,2237.8100492086105,2.0,4653.81886598176,15.0,454.47337311303863
3/22/20,4396338.3259239,16088.475023326411,561.6070437355622,1519.0,2382.9043018707157,2.0,4961.458446446439,25.0,460.26788260105894
3/23/20,4394707.250908568,17260.476392306602,604.0093979634732,1888.0,2539.019456668565,2.0,5292.165911812054,34.0,466.440133965734
3/24/20,4392969.502824627,18505.874563940808,648.9216491242112,2199.0,2706.7979239775905,2.0,5647.324306127556,46.0,473.01857341031763
3/25/20,4391117.255232104,19830.396327974475,696.5572509114231,2493.0,2886.937735708087,2.0,6028.432261334014,59.0,480.03332828251655
3/26/20,4389142.222470788,21240.065941952744,747.1394127394785,2902.0,3080.1948892049886,6.0,6437.109500726581,77.0,487.51634947072705
3/27/20,4387035.6237140205,22741.232502230156,800.9021334270531,3319.0,3287.3859816740737,6.0,6875.102900896794,92.0,495.50156013440835
3/28/20,4384788.145683243,24340.59790074822,858.0912702240424,3787.0,3509.391127941259,6.0,7344.2931215206145,111.0,504.0250113478845
3/29/20,4382389.903887765,26045.24547462818,918.965641986567,4114.0,3747.1571678289106,6.0,7846.701830694167,136.0,513.1250454456971
3/30/20,4379830.402276971,27862.669444023977,983.7981637601491,4300.0,4001.701164985404,120.0,8384.499546520143,159.0,522.8424677823625
3/31/20,4377098.491248918,29800.80519308978,1052.8770140971772,5389.0,4274.114193710067,127.0,8960.014096923776,201.0,533.2207273833187
4/1/20,4374182.32376327,31868.060547989953,1126.5068387969072,6469.0,4565.5654451167475,127.0,9575.739776542963,240.0,544.3061080452624
4/2/20,4371069.309662808,34073.348017896606,1205.0099885477055,7593.0,4877.3066229944625,127.0,10234.347149043619,324.0,556.1479296286899
4/3/20,4367746.068008077,36426.11810148043,1288.7277964851698,8570.0,5210.676659535157,127.0,10938.693566030326,359.0,568.7987609618998
4/4/20,4364198.377382541,38936.393686767704,1378.0218965092226,9788.0,5567.106751823953,127.0,11691.83441662912,445.0,582.3146450438875
4/5/20,4360411.123859,41614.80570323591,1473.2755878137564,10517.0,5948.125766165168,127.0,12497.03522952534,486.0,596.7553390506174
4/6/20,4356368.248408603,44472.629060657564,1574.8952117000968,11470.0,6355.365732818698,127.0,13357.78398720703,564.0,612.1845581739892
4/7/20,4352052.689393937,47521.821129294796,1683.311634035633,13221.0,6790.568136284001,127.0,14277.805303036188,686.0,628.6702528063972
4/8/20,4347446.324605954,50775.06046438743,1798.9817334591378,15224.0,7255.5902733215125,127.0,15261.07477140189,819.0,646.2848890860903
4/9/20,4342529.9122893615,54245.78591911781,1922.389913393025,16969.0,7752.41179108351,173.0,16311.833831025036,950.0,665.1057415907316
4/10/20,4337283.0280499915,57948.237773366825,2054.049688139025,18408.0,8283.141936028702,173.0,17434.606297702903,1057.0,685.215214783056
4/11/20,4331684.001490504,61897.49875551238,2194.5052746770543,19430.0,8850.026897202379,173.0,18634.215230234928,1124.0,706.7011736298876
4/12/20,4325709.850121196,66109.53612284541,2344.3332817770684,20796.0,9455.457686926282,173.0,19915.801088247157,1223.0,729.6573000932602
4/13/20,4319336.212016861,70601.24413680006,2504.1443968415115,21929.0,10101.978284121127,173.0,21284.84063244359,1328.0,754.1834646788046
4/14/20,4312537.27753339,75390.48627442768,2674.5850591397916,20684.0,10792.294122692158,3046.0,22747.166894063696,1532.0,780.3861218126365
4/15/20,4305285.719334204,80496.13777955007,2856.339186588715,12558.0,11529.28100620434,14026.0,24308.990229826075,1736.0,808.3787272893087
4/16/20,4297552.6226270795,85938.12725987383,3050.1298667275632,14475.0,12315.994218709036,14026.0,25976.920083498833,1924.0,838.2821724518129
4/17/20,4289307.414591412,91737.47739911928,3256.7211594824653,17515.0,13155.67812251955,14026.0,27757.988085431687,2141.0,870.2252517558771
4/18/20,4280517.794604462,97916.3442116257,3476.9197298959475,20278.0,14051.775914543392,14026.0,29659.671963492983,2354.0,904.3451469493177
4/19/20,4271149.665269434,104498.05423903602,3711.5765247140444,14062.0,15007.939721158726,22130.0,31689.92051041044,2462.0,940.7879386570692
4/20/20,4261167.065235592,111507.13893987978,3961.5883671114493,16026.0,16028.040925793759,22130.0,33857.17958124558,2587.0,979.709144965798
4/21/20,4250532.105246554,118969.36523596158,4227.899463556297,17347.0,17116.18059770106,22991.0,36170.41879046344,2741.0,1021.2742810894413
4/22/20,4239204.907228759,126911.76185861389,4511.502813179803,17533.0,18276.700170811815,25318.0,38639.159401942525,2906.0,1065.6594517695612
4/23/20,4227143.547981827,135362.64016661452,4813.441467882209,20132.0,19514.19226825615,26573.0,41273.50329888353,3331.0,1113.051976235892
4/24/20,4214304.013521617,144351.6069460951,5134.809537554964,22684.0,20833.510588000987,27655.0,44084.16009945117,3704.0,1163.6509828378082
4/25/20,4200640.148801326,153909.57310612107,5476.75327191896,26107.0,22239.782252254205,29160.0,47082.48182480853,4057.0,1217.668180792798
4/26/20,4186103.6341805705,164068.74726808476,5840.471366708767,28662.0,23738.416367840786,30152.0,50280.48868554952,4286.0,1275.3284552388345
4/27/20,4170643.9607969187,174862.62209086094,6227.215313512516,31701.0,25335.11491915896,31142.0,53690.90216196384,4603.0,1336.870635362189
4/28/20,4154208.4236830105,186325.9464274365,6638.2894068533915,35608.0,27035.88227042068,32544.0,57327.17564122261,5083.0,1402.548235117138
4/29/20,4136742.1304827407,198494.68266078774,7075.050084469439,40040.0,28847.034074239888,34132.0,61203.525471108136,5513.0,1472.630222529672
4/30/20,4118188.0287242606,211405.94681306437,7538.904809327861,45246.0,30775.205393413093,35935.0,65334.96170746666,6006.0,1547.4018108184391
5/1/20,4098486.9544513477,225097.92916070833,8031.310459121531,47751.0,32827.3578140276,38039.0,69737.31817870428,6412.0,1627.1652689240916
5/2/20,4077577.7054075794,239609.7928167236,8553.770974703057,49402.0,35010.78527796813,40937.0,74427.28166651727,6761.0,1712.240748442971
5/3/20,4055397.1419811533,254981.54765263273,9107.834149257327,51784.0,37333.11840312404,42991.0,79422.41988994011,7051.0,1802.9671232376886
5/4/20,4031880.3200559197,271253.89621116524,9695.087643750427,55438.0,39802.326963063904,45815.0,84741.20755595,7367.0,1899.702837818793
5/5/20,4006960.6587703326,288468.04932881834,10317.1539953712,59296.0,42426.72024473103,48221.0,90403.05019331595,7938.0,2002.8267591160263
5/6/20,3980570.147359619,306665.50818000396,10975.6844746557,66653.0,45214.944927743534,51370.0,96428.30524691007,8588.0,2112.739026214415
5/7/20,3952639.595808225,325887.8090768376,11672.351756678965,71233.0,48175.98006126018,55350.0,102838.29963053038,9190.0,2229.861891289342
5/8/20,3923098.9311497365,346176.22989206336,12408.841322402983,77580.0,51319.12888431536,59297.0,109655.34326423924,10017.0,2354.6405439812747
5/9/20,3891877.5547194695,367571.4455654999,13186.841108325016,83720.0,54654.00631621335,61685.0,116902.73704887001,10656.0,2487.5439096751406
5/10/20,3858904.7378857615,390113.1527605707,14008.029958801162,86619.0,58190.52327969711,64957.0,124604.77635784826,11123.0,2629.065413215987
5/11/20,3824110.092741028,413839.63264374575,14874.0641022291,90557.0,61938.86548528048,67384.0,132786.7468165117,11653.0,2779.7236960904897
5/12/20,3787424.1004304686,438787.26797964115,15786.561954875982,93156.0,65909.46730160035,72597.0,141474.91276642148,12461.0,2940.0632736774496
5/13/20,3748778.7066771756,464990.00717165804,16747.086901367653,98473.0,70112.97982390919,78424.0,150696.4971240206,13240.0,3110.6551201853763
5/14/20,3708107.985805961,492478.7752409199,17757.127918174614,109687.0,74560.2326713786,79479.0,160479.65173810974,13999.0,3292.097167298004
5/15/20,3665348.8757937215,521280.83085055265,18818.07844233586,120359.0,79262.1889524188,84970.0,170853.41637023486,14962.0,3485.014695120196
5/16/20,3620441.983529449,551419.0714042931,19931.212977939023,128177.0,84229.89294365456,89672.0,181847.6659548873,15662.0,3690.06060413353
5/17/20,3573332.460307161,582911.287817986,21097.661497286783,130840.0,89474.4099416086,94122.0,193493.04470188337,16118.0,3907.91554509927
