,Susceptible,Exposed,Asymptomatic,Infected data,Infected,Recovered,Predicted Recovered,Death data,Predicted Deaths
1/28/20,539406.0,0.0,0.0,5277.0,195.49300529169417,101.0,62.228436860025724,131.0,25.0
1/29/20,539405.9925395645,0.0074496772275044,5.4275774915775555e-06,5834.0,179.807422501557,120.0,70.9782013253372,133.0,25.993247191412525
1/30/20,539398.9661135046,7.025335331009824,0.005128643627060156,7835.0,165.38368389418372,135.0,79.02594171991996,171.0,26.90680277079597
1/31/20,532826.5696263153,6571.402181644066,4.816912141933626,9375.0,155.2118771099363,214.0,86.44908685532732,213.0,27.749456218563125
2/1/20,3307.630674766867,534222.4746507592,1125.5368005627774,11357.0,857.6808681748973,275.0,101.9792253005201,259.0,29.51239060277079
2/2/20,3.2224289908737e-09,533070.566294659,3801.260217954386,15806.0,2461.4767793151896,463.0,179.9747074145684,361.0,38.366198601858045
2/3/20,8.98092453486448e-13,528646.7696157012,6455.538224098543,18677.0,3923.166850560357,614.0,329.4445195451615,425.0,55.33355262963219
2/4/20,7.278943540277858e-12,524259.68473117653,9087.789153471713,22373.0,5253.8075662037245,843.0,544.0096760011655,491.0,79.69032986137898
2/5/20,1.2615000211712483e-10,519909.006980659,11698.195802334438,25762.0,6464.028062744383,1115.0,817.807457674105,563.0,110.77101246603908
2/6/20,-3.226178405564481e-10,515594.43423199427,14286.9394499813,28477.0,7563.603706954362,1477.0,1145.4508455371222,633.0,147.96408262185383
2/7/20,-1.909169604258865e-09,511315.6668603329,16854.199871321816,31393.0,8561.524580419413,1999.0,1521.99032303755,718.0,190.7076864415235
2/8/20,-1.480608809380042e-10,507072.40772732755,19400.155349364308,33413.0,9466.058501344649,2596.0,1942.8787256878554,805.0,238.48564380594655
2/9/20,-2.2548921597303275e-11,502864.362160498,21924.982687601427,35705.0,10284.808995178717,3219.0,2403.938908280737,905.0,290.8237780459822
2/10/20,2.1842310056288737e-10,498691.23793275474,24428.85722228345,37424.0,11024.768574296195,3918.0,2901.3340287737674,1012.0,347.286542660485
2/11/20,5.674594480724337e-10,494552.74524211907,26911.952834597534,38638.0,11692.367801888351,4636.0,3431.5401838009816,1112.0,407.4739149837958
2/12/20,4.4447942859116385e-09,490448.5966915969,29374.441962741887,38560.0,12293.5203971474,5082.0,3991.3212523996967,1117.0,471.0185405230286
2/13/20,-2.770496124111159e-09,486378.50726922817,31816.495613900166,52309.0,12833.664673687652,6217.0,4577.705785102024,1369.0,537.583109478862
2/14/20,-1.304373418948796e-09,482342.19432825735,34238.283376117906,56860.0,13317.801717250393,7977.0,5187.965711889891,1521.0,606.8579397381209
2/15/20,1.1483752201899636e-09,478339.3775675456,36639.97343007796,57452.0,13750.530438435793,9298.0,5819.596793291915,1663.0,678.5587577424538
2/16/20,-6.744106061310214e-14,474369.77900871524,39021.73256282885,57992.0,14136.079940972279,10755.0,6470.300569642294,1766.0,752.4246494237551
2/17/20,4.000877639139805e-14,470433.1229939652,41383.726169025795,58108.0,14478.338865910138,12462.0,7137.967992696414,1864.0,828.2162021155405
2/18/20,2.1398820352038248e-14,466529.13613305066,43726.11828282668,58002.0,14780.883712669049,14206.0,7820.663639122883,2003.0,905.713712517148
2/19/20,9.451292157362993e-14,462657.54731597804,46049.071570228414,56541.0,15047.002219813732,15962.0,8516.612665407776,2116.0,984.7157058546112
2/20/20,-1.529976581260751e-11,458818.0876820027,48352.74734767826,54825.0,15279.718102132421,18014.0,9224.187015734336,2238.0,1065.0373702416102
2/21/20,2.6676675358475933e-11,455010.4905999405,50637.305593887584,54608.0,15481.81154332745,18704.0,9941.8939950045,2238.0,1146.509259524042
2/22/20,2.4583723457522558e-12,451234.49165256065,52902.90495919568,51859.0,15655.8381417061,22699.0,10668.365703920314,2443.0,1228.9760939829748
2/23/20,-2.22021768132067e-11,447489.8286158494,55149.702778011226,51390.0,15804.14880140373,23187.0,11402.3479477454,2445.0,1312.2955012913849
2/24/20,1.6779343322752654e-11,443776.24144202494,57377.85507900416,49631.0,15928.90447611018,25015.0,12142.692015635392,2595.0,1396.337083329044
2/25/20,-2.692376071032594e-11,440093.4722417999,59587.51659574785,47413.0,16032.09154292657,27676.0,12888.346108631464,2665.0,1480.9814431147279
2/26/20,3.069132463681266e-11,436441.265265776,61778.8407778819,45365.0,16115.536644824473,30084.0,13638.347064268431,2717.0,1566.1192454091945
2/27/20,2.4882573255507795e-11,432819.3668869576,63951.97980160426,42924.0,16180.91892648274,32930.0,14391.813534970164,2746.0,1651.6504423476238
2/28/20,3.881943981794843e-10,429227.52558320353,66107.0845802,39809.0,16229.78195243667,36329.0,15147.93934367152,2790.0,1737.4835191902694
2/29/20,-5.183279989392637e-11,425665.49191964377,68244.30477459394,37199.0,16263.544739906665,39320.0,15905.987333300183,2837.0,1823.5347961345626
3/1/20,-1.3411980716286169e-08,422133.0185314054,70363.78880372945,34898.0,16283.51167735749,42162.0,16665.28383775919,2872.0,1909.7278006780673
3/2/20,3.2024650699665494e-15,418629.86010056525,72465.68385830872,32368.0,16290.881678881491,44854.0,17425.21358040558,2914.0,1995.9926885094724
3/3/20,-2.913185856563357e-14,415155.7733715914,74550.13589169498,29864.0,16286.756499469087,47450.0,18185.2150323029,2947.0,2082.265716591708
3/4/20,2.0777810089508176e-16,411710.5170640618,76617.28967213088,27402.0,16272.14970948806,50001.0,18944.775425041014,2983.0,2168.488677032589
3/5/20,3.0580856788068565e-15,408293.8519277617,78667.28874974517,25230.0,16247.991356674938,52292.0,19703.42813818186,3015.0,2254.6086005157044
3/6/20,9.616266900481534e-15,404905.540697707,80700.27548352968,23702.0,16215.136842551396,53944.0,20460.747757605604,3044.0,2340.5771953390804
3/7/20,3.0856454483958234e-14,401545.3480710671,82716.3910551835,22159.0,16174.372314630953,55539.0,21216.34707265175,3072.0,2426.350506539875
3/8/20,-1.802614518211071e-13,398213.0406999846,84715.77547342172,20335.0,16126.419813378207,57388.0,21969.87420659849,3100.0,2511.8885901552285
3/9/20,-2.4598396485237536e-12,394908.3871731688,86698.56758501938,18933.0,16071.942943945578,58804.0,22721.009456857897,3123.0,2597.15515453095
3/10/20,3.5632230845021456e-12,391631.15799915796,88664.90508485436,17567.0,16011.55137121656,60181.0,23469.46279119269,3139.0,2682.117276099741
3/11/20,-3.357973065929071e-11,388381.12559119996,90614.92452497722,16116.0,15945.804959700574,61644.0,24214.971541688912,3161.0,2766.745137608079
3/12/20,2.2772283158197654e-11,385158.0642514228,92548.76132411117,14859.0,15875.21797092887,62901.0,24957.29806680954,3172.0,2851.011762719733
3/13/20,2.388790270238704e-11,381961.75015486934,94466.54977723365,13569.0,15800.262770043157,64196.0,25696.227687260893,3180.0,2934.8927817016715
3/14/20,-5.159395382037496e-11,378791.9613339383,96368.42306490797,12124.0,15721.37312450086,65660.0,26431.56684929447,3193.0,3018.366222927743
3/15/20,9.902559926396736e-11,375648.47766307584,98254.51326246398,10783.0,15638.947275717961,67017.0,27163.141414614314,3203.0,3101.412318754218
3/16/20,-8.784543310530051e-11,372531.080843556,100124.95134914167,9906.0,15553.350809120657,67910.0,27890.79506272289,3217.0,3184.0133241590124
3/17/20,2.7446731295902448e-09,369439.5543882214,101979.86721721251,9030.0,15464.919293427081,68798.0,28614.387821987377,3230.0,3266.153349992852
3/18/20,1.4254048759889333e-10,366373.68360655976,103819.38968101374,8106.0,15373.960717083532,69755.0,29333.79471382606,3241.0,3347.8182090714877
3/19/20,-4.280854611695552e-09,363333.25558963645,105643.64648591858,7372.0,15280.757742541022,70535.0,30048.904498484004,3249.0,3428.995273800006
3/20/20,3.1742951065362445e-09,360318.0591953225,107452.76431717719,6731.0,15185.569655925485,71266.0,30759.61859067794,3253.0,3509.6733530801757
3/21/20,-6.506387400686596e-10,357327.88503380015,109246.86880870421,6189.0,15088.634260718218,71857.0,31465.850006453995,3259.0,3589.842572760977
3/22/20,3.848476012417722e-09,354362.52545295836,111026.08455181067,5799.0,14990.169626325502,72362.0,32167.522390971233,3274.0,3669.4942652755817
3/23/20,-5.31922029386228e-09,351421.7745236265,112790.53510386134,5410.0,14890.375685505514,72814.0,32864.56913056879,3274.0,3748.6208688459474
3/24/20,-5.791850452035861e-09,348505.42802591686,114540.34299686589,5030.0,14789.435712703107,73280.0,33556.93253124116,3281.0,3827.215834225862
