,Susceptible,Exposed,Asymptomatic,Infected data,Infected,Recovered,Predicted Recovered,Death data,Predicted Deaths
3/14/20,15602145.0,0.0,0.0,96.0,231.0,4.0,0.0,2.0,60.0
3/15/20,15602144.997872623,0.0018879232302158248,0.00017895602601378843,98.0,69.5758974992162,13.0,53.80810346087856,2.0,167.61605953314609
3/16/20,15602144.997159896,0.002185530223291154,0.0004984485169430297,104.0,20.95590601784355,13.0,70.01493636596096,2.0,200.02931373679468
3/17/20,15602144.9968254,0.0020946057374396903,0.0008261826576265482,125.0,6.311845488907477,14.0,74.89658512805319,3.0,209.7918231914093
3/18/20,15602144.99656234,0.0019565828364956806,0.001134446450141736,139.0,1.9011360235575028,14.0,76.36724089945209,3.0,212.7319697055441
3/19/20,15602144.996281607,0.0018592023116025104,0.0014243337579325896,175.0,0.5726531961489199,15.0,76.81060514656308,4.0,213.6171765119043
3/20/20,15602144.995958032,0.001817885794709093,0.0017036415888969558,219.0,0.17252041482002,20.0,76.9446318894652,5.0,213.88336813152446
3/21/20,15602144.995584413,0.001829359054945856,0.0019807557229085016,303.0,0.05200252601500651,23.0,76.9855644532905,4.0,213.96303848927332
3/22/20,15602144.995157883,0.0018870550567936263,0.0022632193731656806,362.0,0.015704112336476457,27.0,76.99853597097425,7.0,213.98645175541628
3/23/20,15602144.994675994,0.0019851978487066303,0.0025576138013917236,462.0,0.004773062300176837,27.0,77.00316785704771,10.0,213.99284027222186
3/24/20,15602144.99413563,0.0021196214113971307,0.002869761003752858,486.0,0.0014833556400599846,40.0,77.0053752310113,10.0,213.9940163959546
3/25/20,15602144.993532771,0.0022877132623236175,0.0032049694068584564,602.0,0.0004959439393968725,43.0,77.00694639499814,12.0,213.99353220000484
3/26/20,15602144.99286245,0.002488175708828749,0.003568252848079767,662.0,0.0002026992124120686,45.0,77.00842804358378,20.0,213.99245037124217
3/27/20,15602144.992118753,0.002720793394738621,0.003964512614504315,794.0,0.00011924724583838275,73.0,77.0099942547148,20.0,213.991082431255
3/28/20,15602144.991294825,0.0029862490273187626,0.004398687592120923,879.0,9.970239941516633e-05,84.0,77.01170824336738,24.0,213.98951228542887
3/29/20,15602144.99038284,0.003285988807576021,0.004875880208351714,902.0,0.00010015186426381919,95.0,77.01360125157477,27.0,213.98775388014633
3/30/20,15602144.989373965,0.003622129792540015,0.005401465201053353,1117.0,0.00010741082248631407,102.0,77.0156963934602,32.0,213.9857986297865
3/31/20,15602144.988258287,0.00399740079401145,0.005981186877710907,1239.0,0.00011756496736109414,123.0,77.01801594445406,35.0,213.98362960930257
4/1/20,15602144.987024741,0.004415111498087606,0.006621251370289833,1792.0,0.00012950053880865636,148.0,77.02058368008028,58.0,213.98122570846374
4/2/20,15602144.985661015,0.004879136339254727,0.007328409157531722,2280.0,0.00014296194744212298,191.0,77.02342571021022,72.0,213.97856276060762
4/3/20,15602144.984153429,0.005393924381291604,0.008110045140707876,2303.0,0.0001579699755094667,192.0,77.0265709337642,72.0,213.97561369225696
4/4/20,15602144.982486801,0.005964518688137035,0.008974267075395977,2767.0,0.0001746345996684997,229.0,77.03005137712125,86.0,213.9723483939951
4/5/20,15602144.980644317,0.006596586983755715,0.009929996281686167,3260.0,0.00019310919759598621,229.0,77.03390251482983,99.0,213.96873346822585
4/6/20,15602144.978607345,0.0072964671772048975,0.010987065586489816,4267.0,0.00021357604215810818,375.0,77.03816362992895,136.0,213.96473190784405
4/7/20,15602144.97635523,0.008071231645186921,0.01215634231557369,4740.0,0.00023624015091894065,421.0,77.04287827711504,150.0,213.96030266996712
4/8/20,15602144.97386514,0.008928728825988767,0.01344981345938444,5232.0,0.0002613248782120862,506.0,77.04809459747615,178.0,213.95540038690032
4/9/20,15602144.971111791,0.009877675407935738,0.014880731534613313,5879.0,0.0002890847339493944,620.0,77.05386589406837,226.0,213.94997481420685
4/10/20,15602144.968067212,0.010927733795257688,0.016463744123189097,6578.0,0.00031981139350283755,774.0,77.06025113576197,246.0,213.94397035323652
4/11/20,15602144.964700438,0.012089614630150056,0.018215056632245562,7189.0,0.000353810061946872,969.0,77.06731561142848,288.0,213.93732546126452
4/12/20,15602144.960977206,0.013375176605257727,0.020152587166115316,7794.0,0.00039142915934763366,1080.0,77.07513153970459,331.0,213.92997205076014
4/13/20,15602144.95685961,0.01479755225622211,0.0222961608882483,8914.0,0.00043305321297151475,1181.0,77.08377885011735,358.0,213.92183476396
4/14/20,15602144.952305714,0.016371272349900868,0.024667700542800975,9735.0,0.00047910611635877063,1359.0,77.0933459476028,393.0,213.9128302527205
4/15/20,15602144.947269132,0.018112412178020714,0.02729144921484078,10485.0,0.0005300587991463784,1432.0,77.1039306068773,405.0,213.90286633216692
4/16/20,15602144.941698533,0.020038768683816304,0.030194238885003288,11214.0,0.0005864315604530602,1768.0,77.11564105454379,448.0,213.89184096339233
4/17/20,15602144.935537087,0.02217004505014584,0.03340577000120523,11825.0,0.0006488028909906471,2041.0,77.12859709386267,486.0,213.87964118975768
4/18/20,15602144.928721974,0.024528024159111445,0.0369588738974429,12738.0,0.0007178088207122304,2463.0,77.14293116389742,521.0,213.866142144003
4/19/20,15602144.921183668,0.027136814532869622,0.04088988396769676,14202.0,0.0007941527773883805,2854.0,77.15878983524003,559.0,213.85120563545698
4/20/20,15602144.912845261,0.030023084290759134,0.04523898881810827,14674.0,0.000878617960709438,3273.0,77.17633523202832,592.0,213.83467880393368
4/21/20,15602144.903621662,0.03321634331621367,0.05005065787349132,15460.0,0.0009720724220007994,3975.0,77.19574674942255,645.0,213.8163925035777
4/22/20,15602144.893418688,0.03674925161249762,0.055374106297045395,16319.0,0.0010754682258877905,4370.0,77.21722293211295,681.0,213.79615954142506
4/23/20,15602144.88213219,0.040657928892614305,0.061263761626257116,17344.0,0.0011898485887079282,5012.0,77.24098335729994,721.0,213.77377290394324
4/24/20,15602144.869646922,0.04498233934807681,0.06777984383514944,18252.0,0.0013163818754877046,5498.0,77.26727096684863,780.0,213.74900353589575
4/25/20,15602144.855835382,0.04976670097028072,0.0749889822231986,19519.0,0.001456394063321774,5939.0,77.29635454899389,825.0,213.72159798039542
4/26/20,15602144.840556512,0.05505993304952746,0.08296488974270715,20486.0,0.0016113013444768556,6523.0,77.32853148554452,881.0,213.69127586767928
4/27/20,15602144.823654244,0.060916159064935194,0.0917891208734043,21375.0,0.0017826929356628282,7137.0,77.36413078650064,939.0,213.65772698715043
4/28/20,15602144.804955905,0.06739526005688747,0.10155190549483366,22569.0,0.001972305831301137,7747.0,77.40351646787028,1008.0,213.62060814327629
4/29/20,15602144.784270473,0.07456348542924432,0.1123530692892892,23546.0,0.002182083274391335,8437.0,77.44709125123717,1079.0,213.57953962765072
4/30/20,15602144.761386588,0.08249413105166124,0.12430305554400889,24641.0,0.002414172073041047,9068.0,77.49530069345266,1154.0,213.5341013474361
5/1/20,15602144.736070428,0.09126828847304405,0.13752405409688437,26027.0,0.0026709458665588486,10007.0,77.54863774062838,1223.0,213.4838285303409
5/2/20,15602144.708063273,0.10097568134673446,0.15215126168817084,27557.0,0.0029550304945924937,10819.0,77.60764781241319,1323.0,213.42820693006172
5/3/20,15602144.677078957,0.11171555071860018,0.16833421593477652,29339.0,0.0032693303279728914,11775.0,77.67293418344619,1391.0,213.36666775199288
5/4/20,15602144.64280078,0.12359772799146974,0.18623841209561093,32024.0,0.0036170601553323703,12847.0,77.74516450564596,1566.0,213.29858150324182
5/5/20,15602144.604878413,0.1367437075955541,0.20604691938952693,33565.0,0.00400177439354747,14142.0,77.82507732959031,1693.0,213.22325184611864
5/6/20,15602144.562924258,0.15128790651346338,0.22796227886791073,35871.0,0.004427405803439144,15331.0,77.91348976041779,1785.0,213.13990837798679
5/7/20,15602144.516509496,0.16737904125263736,0.2522085782569925,37686.0,0.004898309743374723,16776.0,78.01130582697456,1889.0,213.04769873657332
5/8/20,15602144.465159675,0.18518164932644268,0.2790337445457705,39823.0,0.005419302070049232,17887.0,78.11952573293532,1985.0,212.94567988409406
5/9/20,15602144.408349933,0.20487775338533654,0.30871205152074566,41406.0,0.0059957027776238805,19301.0,78.23925597455661,2101.0,212.83280857274497
5/10/20,15602144.345499538,0.2266687508724157,0.3415469671230597,43980.0,0.006633399712277151,20969.0,78.37172082487494,2212.0,212.7079305086286
5/11/20,15602144.275965976,0.25077746358417785,0.3778742417529247,45925.0,0.007338925276098785,22549.0,78.51827478718162,2294.0,212.5697685936517
5/12/20,15602144.19903843,0.27745040386005504,0.4180653229923193,47457.0,0.00811951555810077,24420.0,78.68041637332851,2415.0,212.4169099417688
5/13/20,15602144.113930471,0.3069603042397939,0.46253116732252364,49104.0,0.008983121188059932,26400.0,78.85980350228239,2551.0,212.2477914225037
5/14/20,15602144.019772021,0.33960890672344124,0.511726443018341,51379.0,0.0099385774428327,27969.0,79.05827042623912,2649.0,212.06068361545246
5/15/20,15602143.91560046,0.3757300466911615,0.5661541770364759,52773.0,0.010995654933183859,30258.0,79.27784649061276,2753.0,211.85367316132934
5/16/20,15602143.800350776,0.41569306813891993,0.6263709011363094,53553.0,0.012165163747592779,34224.0,79.52077689347725,2871.0,211.62464318491183
5/17/20,15602143.672844699,0.4599065963867333,0.6929923366453768,55878.0,0.013459062789642682,36795.0,79.78954561980322,3025.0,211.37125167265756
5/18/20,15602143.531778622,0.5088227194189509,0.7666996949576573,57939.0,0.01489058214663086,39233.0,80.08690085937195,3156.0,211.09090750754646
5/19/20,15602143.37571029,0.5629416114326431,0.8482466443578262,60864.0,0.016474359342459242,42309.0,80.41588311251613,3302.0,210.78074396879316
5/20/20,15602143.203044044,0.6228166437446063,0.9384670112051292,63172.0,0.01822658865790554,45422.0,80.77985625886708,3434.0,210.43758943907534
5/21/20,15602143.012014562,0.6890600289213059,1.0382832845863803,66089.0,0.020165186400422846,48553.0,81.18254186740255,3584.0,210.05793505537957
5/22/20,15602142.800668646,0.7623491344380778,1.1487161298266109,69244.0,0.022309975615352164,51824.0,81.62805757655467,3726.0,209.6378985225596
5/23/20,15602142.566845449,0.8434333399419187,1.2708947211117383,73170.0,0.024682886621219306,54385.0,82.12095877887154,3868.0,209.17318481129533
5/24/20,15602142.308154233,0.9331417491974117,1.4060683619629128,76820.0,0.02730818310124821,57692.0,82.66628550104717,4024.0,208.65904195708978
5/25/20,15602142.021949997,1.032391647299303,1.5556192286928923,80072.0,0.0302127092750449,60706.0,83.26961381461788,4172.0,208.0902125882653
5/26/20,15602141.705306644,1.1421978015906964,1.7210763851752664,82172.0,0.03342616164699053,64277.0,83.93711237552766,4344.0,207.4608806183419
5/27/20,15602141.354986375,1.2636830759548252,1.904131776631714,85803.0,0.03698140026735682,67749.0,84.67560694724823,4534.0,206.76461041010296
5/28/20,15602140.9674074,1.398089632970315,2.106657109225133,89755.0,0.04091477835657806,70920.0,85.49264849710758,4711.0,205.9942825695409
5/29/20,15602140.538606832,1.5467917955430746,2.3307232301907064,85884.0,0.0452665153773888,82627.0,86.39659138219827,4980.0,205.14202023190924
5/30/20,15602140.064200295,1.7113100602251936,2.5786212433570705,89706.0,0.05008110322359425,86936.0,87.39667853654251,5185.0,204.19910874724914
5/31/20,15602139.539337112,1.8933266373753825,2.852885925350596,93349.0,0.05540777404183219,91852.0,88.50313593422672,5408.0,203.15590660348414
6/1/20,15602138.958650662,2.0947026632573706,3.1563216611236595,97008.0,0.06130100787754252,95754.0,89.72727721924835,5608.0,202.0017467728095
6/2/20,15602138.316203546,2.31749722081889,3.492031104852336,101077.0,0.06782103960118648,100285.0,91.0816193481853,5829.0,200.7248277273209
6/3/20,15602137.605426835,2.5639884053094146,3.863446922064293,106665.0,0.07503454643060396,104071.0,92.58001062320169,6088.0,199.3120926540184
6/4/20,15602136.819052909,2.8366966175003814,4.274366888389146,111900.0,0.08301529010171894,108450.0,94.23777230351311,6363.0,197.74909597585778
6/5/20,15602135.9490412,3.138410316103943,4.728992693917982,116302.0,0.09184487410089619,113233.0,96.07185515202794,6649.0,196.0198557489673
6/6/20,15602134.98649593,3.4722145423954593,5.231972924824678,120981.0,0.10161358044171037,118695.0,98.10101283485784,6946.0,194.10669017176517
6/7/20,15602133.921575056,3.841522502821364,5.78845065288489,126431.0,0.11242129578783223,123848.0,100.34599391055262,7207.0,191.99003656698193
6/8/20,15602132.743390225,4.250110260171499,6.404115709120877,129360.0,0.12437852572836228,129095.0,102.8297527175055,7473.0,189.64825254839084
6/9/20,15602131.439894183,4.702155781059059,7.0852635217287085,133726.0,0.1376075377627876,134670.0,105.57768674331591,7750.0,187.05739221794212
6/10/20,15602129.997758843,5.202281222902681,7.838858835469241,143297.0,0.15224359820853892,135206.0,108.61789368788628,8102.0,184.19096379560617
6/11/20,15602128.402238447,5.7556003881345426,8.672607217315502,141842.0,0.16843636153633101,147195.0,111.98145993837873,8498.0,181.01965763149352
6/12/20,15602126.637018174,6.367771223534415,9.595034164402055,145779.0,0.1863514064531633,154330.0,115.70277971471764,8884.0,177.51104530125653
6/13/20,15602124.684050621,7.04505253019525,10.615570556838957,149348.0,0.20617189497268673,162379.0,119.819899812508,9195.0,173.62925456730423
