,Susceptible,Exposed,Asymptomatic,Infected data,Infected,Recovered,Predicted Recovered,Death data,Predicted Deaths
2/27/20,18246520.0,0.0,0.0,593.0,140.0,45.0,215.84668461143096,17.0,117.3199325765244
2/28/20,18246079.81067649,425.2022838929667,8.99150612262232,821.0,140.9551472455544,46.0,219.5167762934547,21.0,117.98914440111714
2/29/20,18245618.315415528,842.5345293446388,35.48859690594426,1053.0,153.3378739982578,46.0,223.36371030843242,29.0,118.69056872254285
3/1/20,18245099.817644164,1287.0046430266325,79.904471266883,1577.0,177.01616075119847,83.0,227.68426352461475,34.0,119.47826466716795
3/2/20,18244487.534647755,1792.3272805878473,144.0799636888956,1835.0,212.79733726533,149.0,232.78424959423435,52.0,120.40793744372306
3/3/20,18243740.692920957,2393.816135684429,231.2909601477008,2263.0,262.39984820623204,160.0,239.0026831431503,79.0,121.54133994985546
3/4/20,18242811.589807518,3131.1152629500652,346.3726203797606,2706.0,328.5024884823479,276.0,246.7362361584194,107.0,122.95072760332746
3/5/20,18241642.38495766,4051.00862171305,495.9587771385004,3296.0,414.86731245877155,414.0,256.4659600021876,148.0,124.7237258659662
3/6/20,18240161.387499075,5210.528743068189,688.8444332654024,3916.0,526.5388076603354,523.0,268.7882321680824,197.0,126.96896732141049
3/7/20,18238278.588186417,6680.586684045626,936.4884993685876,5061.0,670.1278699838249,589.0,284.4520337032299,233.0,129.822881909157
3/8/20,18235880.15099743,8550.3641936745,1253.6835363710654,6387.0,854.195115419429,622.0,304.4049664397726,366.0,133.45807915028055
3/9/20,18232821.52542009,10932.74430973407,1659.4300249771618,7985.0,1089.7545958865048,724.0,329.8508847559002,463.0,138.09384600677427
3/10/20,18228918.76691124,13971.10930985522,2178.065319617368,8794.0,1390.9265148056097,724.0,362.3226689056696,631.0,144.00940283905004
3/11/20,18223937.557221737,17847.905488436572,2840.7125868989733,10590.0,1775.7764459033635,1045.0,403.77453153995486,827.0,151.5607174134406
3/12/20,18217579.296270676,22795.463333182302,3687.1335747865587,13052.0,2267.389377974905,1045.0,456.6993742139949,1016.0,161.2018818663996
3/13/20,18209463.495937664,29109.66535792251,4768.091637070969,14955.0,2895.2399864868735,1439.0,524.2781484143526,1266.0,173.51231942177586
