,Susceptible,Exposed,Asymptomatic,Infected data,Infected,Recovered,Predicted Recovered,Death data,Predicted Deaths
2/21/20,5908173.0,0.0,0.0,11.0,389.0427896562083,5.0,400.18986582707976,0.0,287.3543956523424
2/22/20,5907726.055702248,428.2218369749174,11.190412196198514,11.0,399.71507693968834,5.0,400.23162188812626,0.0,287.3579806023522
2/23/20,5907255.140625091,844.04384453383,43.95024110845333,11.0,431.1195592664229,5.0,400.5186626267871,0.0,287.38257618468845
2/24/20,5906736.7876019515,1270.9741977831197,98.01015159629758,11.0,483.2328607054114,5.0,401.2883031746836,0.0,287.44851037509267
2/25/20,5906146.920816502,1731.162690949917,174.27728824249968,10.0,557.1528640581299,6.0,402.78148404543134,0.0,287.57642169282946
2/26/20,5905459.608181249,2246.7082717555127,274.7861780085264,10.0,655.0645589054675,6.0,405.25552228999504,0.0,287.7883514410982
2/27/20,5904645.819245445,2840.85328523749,402.71447459969215,11.0,780.2673163739614,6.0,408.99668329423076,0.0,288.10882058398374
2/28/20,5903672.122016426,3539.137606519568,562.458893080176,10.0,937.2598491701251,7.0,414.3332648779846,0.0,288.5659505062128
2/29/20,5902499.254793158,4370.577196656733,759.7702733006864,17.0,1131.8824961426822,7.0,421.6498547686585,1.0,289.19268428199945
3/1/20,5901080.508529665,5368.926834914031,1001.9499221193478,24.0,1371.5195269756944,7.0,431.4034279897474,1.0,290.0281655476078
3/2/20,5899359.8515421245,6574.085412242139,1298.1123861894712,42.0,1665.367054113284,7.0,444.1419911894524,6.0,291.1193355400955
3/3/20,5897269.721632676,8033.703770014354,1659.5228136943201,60.0,2024.7750697516756,7.0,460.5265568007636,7.0,292.5228153632705
3/4/20,5894728.401667373,9805.058787934953,2100.020144041392,89.0,2463.6751558550764,7.0,481.35733544984305,11.0,294.307149581004
3/5/20,5891636.882695422,11957.263595796465,2636.540683036262,165.0,2999.108709640918,7.0,507.60517972558756,12.0,296.5554996324366
3/6/20,5887875.104882464,14573.891338542548,3289.760194154112,216.0,3651.874095115792,7.0,540.4494895515068,14.0,299.3688907361095
3/7/20,5883297.448563399,17756.100284628697,4084.8769508255973,379.0,4447.315467273879,7.0,581.3240315698498,17.0,302.8701366937519
3/8/20,5877727.333081984,21626.355763324194,5052.562117985976,491.0,5416.279973028818,7.0,631.9723598327045,21.0,307.2085871243016
3/9/20,5870950.758360188,26332.857055801487,6230.109500170406,565.0,6596.275781714504,7.0,694.5148955406245,22.0,312.5658733903772
3/10/20,5862708.609875532,32054.782980041604,7662.821524955466,746.0,8032.868328454514,8.0,771.5300709241111,28.0,319.1628592332627
3/11/20,5852687.533528847,39008.47357183244,9405.674176501658,1106.0,9781.358158088173,8.0,866.152402162022,33.0,327.26804151790736
3/12/20,5840509.185198959,47454.657231951474,11525.308912700188,1531.0,11908.789296944955,12.0,982.1908528603035,43.0,337.20768902984526
3/13/20,5825717.681505696,57706.80238732393,14102.404168468089,2156.0,14496.341980481808,12.0,1124.27142113646,51.0,349.3780562214189
3/14/20,5807765.155743406,70140.59163669994,17234.480625625318,2908.0,17642.165637684586,12.0,1298.0084690515187,58.0,364.2600589743996
3/15/20,5785995.539735751,85204.30715473248,21039.189263746488,3130.0,21464.703705543838,12.0,1510.2099055129086,70.0,382.436850188378
3/16/20,5759627.302617344,103429.34488573793,25658.10734755162,4565.0,26106.539608943916,17.0,1769.1217715994444,97.0,404.6147705078408
3/17/20,5727737.653537565,125438.42509493874,31260.991965309575,6363.0,31738.72140302733,17.0,2084.7177048322924,132.0,431.648143296827
3/18/20,5689256.100998438,151944.07026125083,38050.20889054004,8873.0,38565.30075927297,105.0,2469.037171052611,191.0,464.5682469567248
3/19/20,5642991.815076908,183714.55162314017,46264.350800641274,13277.0,46827.14714206856,121.0,2936.5699710362637,265.0,504.6162510524932
3/20/20,5587769.12666476,221438.2458277208,56177.903485957315,19519.0,56802.029955725346,147.0,3504.6637649479185,364.0,553.2781241045208
3/21/20,5522881.870678448,265291.5753107253,68087.52169140456,25385.0,68791.91631746296,176.0,4193.867351120912,464.0,612.3140382147212
3/22/20,5449344.188508616,313775.57285061304,82259.59855616605,34080.0,83073.16958808377,178.0,5027.940710353887,574.0,683.759229442427
3/23/20,5372317.115221746,361524.10485330597,98790.41973757738,45111.0,99762.7012742926,178.0,6032.846112962435,763.0,769.8375778983198
3/24/20,5302302.191648572,398511.10107260616,117368.92719507194,55279.0,118589.48074955492,348.0,7233.578290551742,1002.0,872.6900861146903
3/25/20,5248836.5117989015,416539.04338246456,137172.1977625967,66976.0,138789.9148435017,361.0,8648.733830154959,1326.0,993.9097033802209
3/26/20,5211884.104924488,417286.8409748792,157206.2185732112,84141.0,159427.48581929595,681.0,10286.312577956049,1734.0,1134.181681739707
3/27/20,5184906.05830624,408466.7766473834,176768.7462863998,102073.0,179833.3421478295,869.0,12144.589719097567,2254.0,1293.3582767392054
3/28/20,5162029.478232021,396480.6441272166,195549.94936404636,120835.0,199705.99703448822,1072.0,14216.284276148279,2886.0,1470.8158133035881
3/29/20,5139997.209534053,384695.00100275746,213493.63873366476,137587.0,218983.08824790956,2665.0,16492.230259782835,3472.0,1665.7691497213823
3/30/20,5117338.965601546,374492.96052487934,230661.44003491534,155925.0,237714.30687545898,5644.0,18963.388475157757,4164.0,1877.4440052621724
3/31/20,5093464.320049934,366304.8373411504,247157.74230830208,179825.0,255990.9207806066,7024.0,21621.68906593467,5252.0,2105.149130941055
4/1/20,5068163.801145028,360162.6059711922,263096.09614748973,203024.0,273914.1080021981,8474.0,24460.29343846052,6422.0,2348.298745460016
4/2/20,5041381.612069423,355949.36514615855,278585.8866683776,231384.0,291582.3109508484,9001.0,27473.610036288865,7924.0,2606.413886424277
4/3/20,5013119.792883021,353502.9117598213,293727.77105745074,261286.0,309086.8267376812,9707.0,30657.217641308802,9313.0,2879.115840458709
4/4/20,4983399.517303765,352656.3296635929,308612.6552158306,287809.0,326510.732347003,14652.0,34007.760656137456,10843.0,3166.117173291034
4/5/20,4952246.075612415,353252.66657398,323322.0086498042,311615.0,343929.07855219976,17448.0,37522.84168262799,12426.0,3467.212528225285
4/6/20,4919683.422463326,355149.2902978892,337928.6261390477,337898.0,361409.51464373246,19581.0,41200.920585733824,14196.0,3782.2699801388653
4/7/20,4885732.493833322,358218.29794913175,352497.4866292848,364543.0,379013.0145480772,21763.0,45041.22276759337,16767.0,4111.223178410159
4/8/20,4850410.975877298,362345.50947028934,367086.5806702263,392617.0,396794.5823048283,23559.0,49043.65687435462,18913.0,4454.064297837126
4/9/20,4813733.605988533,367429.03886389296,381747.6628138482,423187.0,414803.8948899393,25410.0,53208.74131879297,21141.0,4810.837744700492
4/10/20,4775712.648201334,373377.81874006905,396526.9192405074,451125.0,433085.8722701259,28790.0,57537.53873207187,23359.0,5181.634542022685
4/11/20,4736358.405117538,380110.2115001421,411465.5543925633,475874.0,451681.17725296284,31270.0,62031.59729709362,25488.0,5566.587304291006
4/12/20,4695679.715387733,387552.7504088284,426600.30201020103,499309.0,470626.64953128394,32988.0,66692.89822181707,27294.0,5965.865738119148
4/13/20,4653684.42539477,395639.01131482533,441963.8677038702,512660.0,489955.67995996115,43482.0,71523.80859730733,29240.0,6379.672604154735
4/14/20,4610379.827053152,404308.60894764774,457585.3124733923,534518.0,509698.53313580505,47763.0,76527.03875331278,31692.0,6808.240064236921
4/15/20,4565773.063560252,413506.3078277664,473490.382566249,557584.0,529882.6229131906,52096.0,81705.6036107028,34301.0,7251.826370917513
4/16/20,4519871.507632593,423181.2287773116,489701.795186818,584324.0,550532.7491090974,54703.0,87062.78723166516,36477.0,7710.712830896455
4/17/20,4472683.107138902,433286.1654761731,506239.4740790857,611195.0,571671.2900641018,58545.0,92602.1109202032,38570.0,8185.201072569311
4/18/20,4424216.711898844,443776.9613155051,523120.7584496854,630791.0,593318.3715683233,64840.0,98327.30305046328,40530.0,8675.610461577548
4/19/20,4374482.375698771,454611.96488726896,540360.5772149786,649044.0,615492.0050897276,70337.0,104242.27118755931,42461.0,9182.275712729843
4/20/20,4323491.634497226,465751.5585436597,557971.5915930768,673288.0,638208.1979231543,72329.0,110351.07624407267,44647.0,9705.54467629563
4/21/20,4271257.764826718,477157.74355046666,575964.3142097687,693903.0,661481.0423679668,75204.0,116657.90800574048,47195.0,10245.776241580832
4/22/20,4217796.023737049,488793.77389757294,594347.2090355575,718604.0,685322.7876916628,77366.0,123167.06167501684,49629.0,10803.338327692545
4/23/20,4163123.8679935434,500623.8434544727,613126.7705434125,746726.0,709743.8935106776,80203.0,129882.91559702373,52101.0,11378.605975585213
4/24/20,4107261.1547533786,512612.814757662,632307.5883020604,759262.0,734753.0699979054,99079.0,136809.90966281734,54255.0,11971.959498124295
4/25/20,4050230.322485206,524725.9956755367,651892.3937156325,788072.0,760357.3020606242,100372.0,143952.5246640863,55953.0,12583.782711647884
4/26/20,3992056.553741756,536928.9376499213,671882.1049467007,807227.0,786561.8715634599,106988.0,151315.26141400554,57282.0,13214.461147497586
4/27/20,3932767.916676805,549187.287635211,692275.8511061745,824498.0,813370.3610585706,111424.0,158902.62109762206,58748.0,13864.380368868891
4/28/20,3872395.4867208493,561466.6595257728,713070.9969753261,842419.0,840784.657717078,115936.0,166719.08531164247,60989.0,14533.924261056241
4/29/20,3810973.4469089075,573732.5425371093,734263.1578368368,862959.0,868804.9483647259,120720.0,174769.09661567875,63510.0,15223.473365508695
4/30/20,3748539.1672252696,585950.237008891,755846.2103725744,856817.0,897429.7108472534,153947.0,183057.03915135955,65930.0,15933.403219698752
5/1/20,3685133.2599383886,598084.813472463,777812.3040039507,879091.0,926655.7058206495,164015.0,191587.2192659439,67808.0,16664.08269737696
5/2/20,3620799.613811724,610101.1036437073,800151.8654503399,894039.0,956477.9623843852,175382.0,200363.84642797042,69495.0,17415.872373841696
5/3/20,3555585.401460624,621963.7093028403,822853.6087654913,912675.0,986889.7688260829,180152.0,209391.0140480872,70591.0,18189.122883086806
5/4/20,3489541.0646209903,633637.0385455082,845904.5419845307,927737.0,1017882.6603546917,187180.0,218672.68051279336,71903.0,18984.173293186992
5/5/20,3422720.27258522,645085.3606345429,869289.9787010299,947385.0,1049446.4115261536,189791.0,228212.65022707346,74207.0,19801.349482444904
5/6/20,3355179.855019357,656272.8807703406,892993.5528296903,970064.0,1081569.031918314,189910.0,238014.5548844118,76556.0,20640.962535015184
