index,date,state,city,place_type,confirmed,deaths,order_for_place,is_last,popEst,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
0,2020-06-22,AP,TOTAL,state,24862,372,94,True,845731.0,16.0,2939.70541,0.015
1,2020-06-21,AP,TOTAL,state,21840,359,93,False,845731.0,16.0,2582.3814,0.0164
2,2020-06-20,AP,TOTAL,state,21574,353,92,False,845731.0,16.0,2550.92931,0.0164
3,2020-06-19,AP,TOTAL,state,19922,348,91,False,845731.0,16.0,2355.59534,0.0175
4,2020-06-18,AP,TOTAL,state,19387,342,90,False,845731.0,16.0,2292.33645,0.0176
5,2020-06-17,AP,TOTAL,state,18618,338,89,False,845731.0,16.0,2201.4092,0.0182
6,2020-06-16,AP,TOTAL,state,18024,337,88,False,845731.0,16.0,2131.1741,0.0187
7,2020-06-15,AP,TOTAL,state,16813,329,87,False,845731.0,16.0,1987.9843600000002,0.0196
8,2020-06-14,AP,TOTAL,state,16512,324,86,False,845731.0,16.0,1952.39385,0.0196
9,2020-06-13,AP,TOTAL,state,16322,319,85,False,845731.0,16.0,1929.92807,0.0195
10,2020-06-12,AP,TOTAL,state,15683,312,84,False,845731.0,16.0,1854.37213,0.0199
11,2020-06-11,AP,TOTAL,state,15166,303,83,False,845731.0,16.0,1793.2415899999999,0.02
12,2020-06-10,AP,TOTAL,state,14623,289,82,False,845731.0,16.0,1729.03677,0.0198
13,2020-06-09,AP,TOTAL,state,13771,285,81,False,845731.0,16.0,1628.29552,0.0207
14,2020-06-08,AP,TOTAL,state,13294,278,80,False,845731.0,16.0,1571.89461,0.0209
15,2020-06-07,AP,TOTAL,state,13045,272,79,False,845731.0,16.0,1542.45262,0.0209
16,2020-06-06,AP,TOTAL,state,12773,269,78,False,845731.0,16.0,1510.2911,0.0211
17,2020-06-05,AP,TOTAL,state,12327,260,77,False,845731.0,16.0,1457.55565,0.0211
18,2020-06-04,AP,TOTAL,state,11551,254,76,False,845731.0,16.0,1365.80071,0.022
19,2020-06-03,AP,TOTAL,state,11107,247,75,False,845731.0,16.0,1313.30175,0.0222
