state,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
SP,2020-03-15,200,8e6,0,0,800,300,250,100,0.15,0.55,0.01
ES,2020-04-01,200,475e3,0,0,50,250,50,100,0.15,0.65,0.01
MG,2020-04-01,200,1.1e6,0,0,200,250,40,100,0.15,0.55,0.01
RJ,2020-03-20,200,0.7e6,0,0,800,250,50,100,0.15,0.50,0.01
CE,2020-03-20,200,0.8e6,0,0,800,250,50,100,0.15,0.50,0.01
PE,2020-03-20,200,0.7e6,0,0,800,250,100,100,0.15,0.50,0.01
AM,2020-03-20,200,0.7e6,0,0,800,250,100,100,0.15,0.50,0.01
PA,2020-03-20,200,0.7e6,0,0,800,250,100,100,0.15,0.50,0.01
PI,2020-03-20,200,0.7e6,0,0,800,250,100,100,0.15,0.50,0.01
RR,2020-03-20,200,0.7e6,0,0,800,250,100,100,0.15,0.50,0.01
AP,2020-03-20,200,0.7e6,0,0,800,250,100,100,0.15,0.50,0.01
