state,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
SP,2020-03-15,200,14941418.36433542,0,0,1009,300,250,100,0.15,0.472611893581037,0.005634717324471867
ES,2020-04-01,200,2100725.197242888,0,0,207,250,50,100,0.15,0.2521765790393463,0.02531178476595686
MG,2020-04-01,200,4297831.10828336,0,0,507,250,40,100,0.15,0.29579505783071075,0.006437762435556722
RJ,2020-03-20,200,2756032.9289917443,0,0,2339,250,50,100,0.15,0.5091893659562453,0.043312222219746205
CE,2020-03-20,200,1028438.7557220014,0,0,2784,250,50,100,0.15,0.6861430914533406,0.045058899909621364
PE,2020-03-20,200,981682.9625423535,0,0,1189,250,100,100,0.15,0.2581058688996845,0.09608797642683613
AM,2020-03-20,200,659087.0147173323,0,0,1754,250,100,100,0.15,0.5933381153203616,0.015246462089829929
PA,2020-03-20,200,2187883.097522725,0,0,968,250,100,100,0.15,0.6307264913707544,0.0011933601215555964
PI,2020-03-20,200,3271333.901728978,0,0,3053,250,100,100,0.15,0.25222349357103113,0.04856338445332086
RR,2020-03-20,200,1390114.8773100679,0,0,1810,250,100,100,0.15,0.775983920047635,0.0679708612582125
AP,2020-03-20,200,2839374.311647665,0,0,1325,250,100,100,0.15,0.6785728212790443,0.09265206036537614
