state,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
SP,2020-03-11,200,25252852,0,0,106,0,74,132,0.15,0.273,0.0
ES,2020-04-02,200,1741035,0,0,51,0,172,127,0.15,0.2065,0.0
MG,2020-04-04,200,8771135,0,0,66,0,68,233,0.15,0.2471,0.0
RJ,2020-03-20,200,16171937,0,0,149,0,124,98,0.15,0.5386,0.0
CE,2020-03-17,200,7667224,0,0,67,0,112,33,0.15,0.4114,0.0
PE,2020-03-18,200,5591725,0,0,88,0,188,208,0.15,0.5481,0.0
BA,2020-03-17,200,12535116,0,0,230,0,202,19,0.15,0.2369,0.0
AM,2020-03-22,200,2110077,0,0,59,0,70,134,0.15,0.3215,0.0
PA,2020-03-18,200,4714263,0,0,186,0,73,75,0.15,0.4269,0.0
PI,2020-03-19,200,1611130,0,0,139,0,132,133,0.15,0.811,0.0
RR,2020-03-23,200,573165,0,0,215,0,207,153,0.15,0.2728,0.0
AP,2020-03-16,200,309606,0,0,173,0,188,245,0.15,0.4219,0.0
PR,2020-03-18,200,7315612,0,0,79,0,183,84,0.15,0.5874,0.0
SC,2020-03-17,200,6380999,0,0,161,0,200,120,0.15,0.2312,0.0
RS,2020-03-19,200,5233159,0,0,73,0,2,163,0.15,0.67,0.0
